protein target,smiles count
P35368_ADRA1B,32
O95264_HTR3B,30
A5X5Y0_HTR3E,30
Q8WXA8_HTR3C,30
Q70Z44_HTR3D,29
Q9BY41_HDAC8,23
Q969S8_HDAC10,22
Q9UQL6_HDAC5,22
Q9UKV0_HDAC9,21
Q9UKV0_HDAC7,21
Q96DB2_HDAC11,21
P30281_CCND3,17
P30279_CCND2,16
P35354_PTGS2,16
P14416_DRD2,16
P09917_ALOX5,16
Q7Z2K8_GRIN1,15
P21728_DRD1,15
P18507_GABRG2,15
Q01668_CACNA1D,14
P11229_CHRM1,14
P78396_CCNA1,14
Q13698_CACNA1S,14
O75493_CA11,14
P07437_TUBB,14
P42261_GRIA1,13
P41594_GRM5,13
P25100_ADRA1A,13
P28472_GABRB3,13
P30939_HTR1F,12
P48058_GRIA4,12
P28223_HTR2A,12
P24941_CDK2,12
Q693B1_REN,12
P03372_ESR1,12
O75845_SC5D,11
Q9NWH9_MET,11
Q13131_PRKAA1,11
P42684_ABL2,11
P20309_CHRM3,11
P21453_S1PR1,10
P31644_GABRA5,10
P42262_GRIA2,10
O95067_CCNB2,10
P35367_HRH1,10
Q9ULZ9_MMP17,10
O00748_CES2,10
P24347_MMP11,10
P00533_EGFR,10
Q9NZ42_PSENEN,10
Q99542_MMP19,10
Q13936_CACNA1C,10
O15264_MAPK13,9
P42263_GRIA3,9
P14867_GABRA1,9
P42336_PIK3CA,9
Q96BI3_APH1A,9
P48169_GABRA4,9
P37231_PPARG,9
P18405_SRD5A1,9
P39900_MME,9
P31213_SRD5A2,9
P11802_CDK4,9
P28566_HTR1E,9
P28845_HSD11B1,9
Q12879_GRIN2A,9
O96020_CCNE2,9
Q14654_KCNJ11,9
Q9BRH5_DGAT1,9
P49810_PSEN2,9
P42574_CASP3,9
Q8WW43_APH1B,9
Q9NPC1_LTB4R2,9
P27487_DPP4,9
P08908_HTR1A,9
O60882_MMP20,9
P51511_MMP15,9
P0DPD6_ECE2,8
P00519_ABL1,8
Q16539_MAPK14,8
P18089_ADRA2B,8
O00329_PIK3CD,8
Q04759_PRKCQ,8
P60568_IL2,8
P51512_MMP16,8
O00555_CACNA1A,8
P33402_GUCY1A2,8
P35462_DRD3,8
P50750_CDK9,8
P25103_TACR1,8
Q09428_ABCC8,8
Q9H4B7_TUBB1,8
P31645_SLC6A4,8
Q99988_PDF,8
Q13224_GRIN2B,8
O00767_SCD,8
Q8WWL7_CCNB3,8
P0DMS8_ADORA3,8
P10275_AR,8
Q9UBN7_HDAC6,8
P23975_SLC6A2,8
Q8TDV5_GPR119,7
P24723_PRKCH,7
P29275_ADORA2B,7
P35408_PTGER4,7
O00408_PDE2A,7
P14780_MMP9,7
Q8N1C3_GABRG1,7
P23219_PTGS1,7
Q9H228_S1PR5,7
Q92731_ESR2,7
P08913_ADRA2A,7
Q14145_KEAP1,7
P42338_PIK3CB,7
P30926_CHRNB4,7
