protein target,smiles count
Q8WXA8_HTR3C,30
O95264_HTR3B,30
A5X5Y0_HTR3E,30
Q70Z44_HTR3D,29
Q7Z2K8_GRIN1,15
P78396_CCNA1,14
O75845_SC5D,11
O95067_CCNB2,10
Q9BRH5_DGAT1,9
Q8WW43_APH1B,9
Q96BI3_APH1A,9
O96020_CCNE2,9
Q99988_PDF,8
P33402_GUCY1A2,8
Q8WWL7_CCNB3,8
P0DPD6_ECE2,8
Q99928_GABRG3,7
P51164_ATP4B,7
Q71U36_TUBA1A,6
O00305_CACNB4,6
Q15842_KCNJ8,6
Q02153_GUCY1B1,6
P47870_GABRB2,6
O15460_P4HA2,6
Q15661_TPSAB1,5
Q3ZCM7_TUBB8,5
Q13885_TUBB2A,5
Q9BQE3_TUBA1C,5
P04350_TUBB4A,5
Q9BUF5_TUBB6,5
Q6PEY2_TUBA3E,5
P68366_TUBA4A,5
P68363_TUBA1B,5
O95477_ABCA1,5
Q9BVA1_TUBB2B,5
Q13635_PTCH1,5
P07098_LIPF,5
Q8TAA3_PSMA8,4
P07510_CHRNG,4
P11230_CHRNB1,4
Q53GQ0_HSD17B12,4
P25787_PSMA2,4
O14818_PSMA7,4
Q8TCU5_GRIN3A,4
P28066_PSMA5,4
Q9ULM6_CCR4,4
A5LHX3_PSMB11,4
Q8NBQ5_HSD17B11,4
Q8IZS8_CACNA2D3,4
P25788_PSMA3,4
P49720_PSMB3,4
P25789_PSMA4,4
Q6UWR7_ENPP6,3
P30532_CHRNA5,3
Q13621_SLC12A1,3
P48556_PSMD8,3
P51665_PSMD7,3
Q9UNM6_PSMD13,3
P39023_RPL3,3
P17980_PSMC3,3
O43242_PSMD3,3
Q05901_CHRNB3,3
P62195_PSMC5,3
P00568_AK1,3
Q9NNW7_TXNRD2,3
O43306_ADCY6,3
P23229_ITGA6,3
Q13200_PSMD2,3
P60709_ACTB,3
Q99460_PSMD1,3
P55036_PSMD4,3
Q3B792_NQO1,3
P38435_GGCX,3
P05026_ATP1B1,3
Q15825_CHRNA6,3
Q7Z3S7_CACNA2D4,3
O60266_ADCY3,3
P51170_SCNN1G,2
O60359_CACNG3,2
O15169_AXIN1,2
P13637_ATP1A3,2
P51168_SCNN1B,2
P18545_PDE6G,2
P19113_HDC,2
P51828_ADCY7,2
P78334_GABRE,2
Q9UF02_CACNG5,2
Q96QE3_ATAD5,2
P46527_CDKN1B,2
P61158_ACTR3,2
P46934_NEDD4,2
Q14498_RBM39,2
Q9UN88_GABRQ,2
P28331_NDUFS1,2
Q12802_AKAP13,2
O14764_GABRD,2
P21333_FLNA,2
Q13733_ATP1A4,2
O00591_GABRP,2
P55017_SLC12A3,2
Q9UGI9_PRKAG3,2
Q16206_ENOX2,2
P27987_ITPKB,2
O75533_SF3B1,2
Q13956_PDE6H,2
P03886_MT-ND1,2
P19447_ERCC3,2
P55087_AQP4,2
Q9HAU4_SMURF2,1
Q96RP8_KCNA7,1
A8K2H7_C3AR1,1
Q13018_PLA2R1,1
P40879_SLC26A3,1
P45378_TNNT3,1
Q15054_POLD3,1
P49411_TUFM,1
O14561_NDUFAB1,1
P35713_SOX18,1
Q9HCU8_POLD4,1
P62714_PPP2CB,1
Q02878_RPL6,1
Q9ULD8_KCNH3,1
P30086_PEBP1,1
Q16526_CRY1,1
P25092_GUCY2C,1
P49821_NDUFV1,1
Q9BXM7_PINK1,1
O75531_BANF1,1
Q07864_POLE,1
P56282_POLE2,1
P49585_PCYT1A,1
P84098_RPL19,1
O14867_BACH1,1
Q9NZV8_KCND2,1
P62263_RPS14,1
P61313_RPL15,1
P29218_IMPA1,1
P56159_GFRA1,1
Q9HCF6_TRPM3,1
P10747_CD28,1
Q01344_IL5RA,1
Q92696_RABGGTA,1
P26447_S100A4,1
P43304_GPD2,1
Q5XG87_TENT4A,1
P18621_RPL17,1
Q13435_SF3B2,1
P46089_GPR3,1
P38606_ATP6V1A,1
Q14181_POLA2,1
B9EGA7_CDC42BPA,1
Q96S38_RPS6KC1,1
P33681_CD80,1
Q9ULV1_FZD4,1
Q04864_REL,1
Q9GZZ9_UBA5,1
Q9H0A0_NAT10,1
O75343_GUCY1B2,1
P49895_DIO1,1
P57764_GSDMD,1
P54710_FXYD2,1
P35913_PDE6B,1
P19429_TNNC1,1
P49005_POLD2,1
Q13724_MOGS,1
P62750_RPL23A,1
P61927_RPL37,1
Q8TAV3_CYP2W1,1
P51790_CLCN3,1
P17844_DDX5,1
Q9Y6D5_ARFGEF2,1
Q96PR1_KCNC2,1
P15531_NME1,1
Q92844_TRAF2,1
