protein target,smiles count
P35368_ADRA1B,55
P14416_DRD2,39
P35354_PTGS2,32
P00915_CA1,31
Q8WXA8_HTR3C,30
A5X5Y0_HTR3E,30
O95264_HTR3B,30
P11229_CHRM1,30
P28223_HTR2A,29
Q70Z44_HTR3D,29
P24941_CDK2,29
P14867_GABRA1,28
Q9BY41_HDAC8,28
P09917_ALOX5,26
Q9UQL6_HDAC5,26
Q9UKV0_HDAC9,26
P47869_GABRA2,25
P22748_CA4,24
P20309_CHRM3,24
Q9UKV0_HDAC7,24
P34903_GABRA3,23
P42336_PIK3CA,23
Q969S8_HDAC10,23
P30939_HTR1F,23
Q96DB2_HDAC11,22
Q9Y2D0_CA5B,22
P35968_KDR,22
P00918_CA2,21
P00533_EGFR,21
P21728_DRD1,21
P21453_S1PR1,21
P11802_CDK4,21
O00329_PIK3CD,20
P31644_GABRA5,20
P35367_HRH1,20
P35218_CA5A,20
P28566_HTR1E,20
P08908_HTR1A,20
P31645_SLC6A4,19
P41594_GRM5,19
P27487_DPP4,19
P23975_SLC6A2,19
P00519_ABL1,19
P35462_DRD3,18
Q13936_CACNA1C,18
P18507_GABRG2,18
O60885_BRD4,18
P10275_AR,18
P07550_ADRB2,18
P37231_PPARG,18
P08588_ADRB1,17
P23219_PTGS1,17
Q16539_MAPK14,17
P30281_CCND3,17
P30279_CCND2,16
P29274_ADORA2A,16
P08912_CHRM5,16
P25100_ADRA1A,16
Q04759_PRKCQ,15
P48058_GRIA4,15
O60674_JAK2,15
P07437_TUBB,15
Q13698_CACNA1S,15
P56817_BACE1,15
P28335_HTR2C,15
P07451_CA3,15
O75493_CA11,15
P08173_CHRM4,15
Q7Z2K8_GRIN1,15
P41595_HTR2B,15
Q07869_PPARA,14
P42261_GRIA1,14
P09874_PARP1,14
Q01668_CACNA1D,14
O15379_HDAC3,14
P08172_CHRM2,14
O00767_SCD,14
Q16445_GABRA6,14
P03372_ESR1,14
P36888_FLT3,14
P08913_ADRA2A,14
P25103_TACR1,14
Q9UBN7_HDAC6,14
P78396_CCNA1,14
P28222_HTR1B,13
P0DMS8_ADORA3,13
P29275_ADORA2B,13
P31749_AKT1,13
P10721_KIT,13
O43570_CA12,13
P42684_ABL2,13
P12931_SRC,13
P21554_CNR1,13
P28472_GABRB3,13
P48736_PIK3CG,13
P06493_CDK1,12
P36544_CHRNA7,12
P28845_HSD11B1,12
Q12879_GRIN2A,12
P13569_CFTR,12
O43614_HCRTR2,12
Q693B1_REN,12
P14780_MMP9,12
P24723_PRKCH,12
Q06124_PTPN11,12
Q13547_HDAC1,12
Q9NPC1_LTB4R2,12
P23141_CES1,12
P49841_GSK3B,12
P50750_CDK9,12
P42338_PIK3CB,12
Q08493_PDE4C,12
P21917_DRD4,11
P42262_GRIA2,11
P08253_MMP2,11
P00734_F2,11
P27338_MAOB,11
P42574_CASP3,11
P48169_GABRA4,11
P50281_MMP14,11
P00742_F10,11
Q13224_GRIN2B,11
O00408_PDE2A,11
Q9NWH9_MET,11
Q13131_PRKAA1,11
P28221_HTR1D,11
O15264_MAPK13,11
P25774_CTSS,11
Q9UM73_ALK,11
Q15910_EZH2,11
Q14654_KCNJ11,11
O00748_CES2,11
O75845_SC5D,11
Q9H228_S1PR5,11
O76074_PDE5A,11
Q8IXJ6_SIRT2,11
Q92731_ESR2,10
Q13255_GRM1,10
P51512_MMP16,10
P10635_CYP2D6,10
P25101_EDNRA,10
Q14416_GRM2,10
O60341_KDM1A,10
P35372_OPRM1,10
P34998_CRHR1,10
Q06187_BTK,10
Q99542_MMP19,10
P24347_MMP11,10
P37288_AVPR1A,10
Q99835_SMO,10
Q14145_KEAP1,10
Q9Y5N1_HRH3,10
P25100_ADRA1D,10
P51511_MMP15,10
P04150_NR3C1,10
P49840_GSK3A,10
P10415_BCL2,10
P24530_EDNRB,10
Q9NZ42_PSENEN,10
P42263_GRIA3,10
P49768_PSEN1,10
P17252_PRKCA,10
P19099_CYP11B2,10
Q9ULZ9_MMP17,10
O95067_CCNB2,10
P31213_SRD5A2,10
P18089_ADRA2B,10
P18405_SRD5A1,10
O75530_EED,10
Q08499_PDE4D,10
O60882_MMP20,10
Q03181_PPARD,9
P35610_SOAT1,9
O95977_S1PR4,9
P15056_BRAF,9
P49810_PSEN2,9
P50406_HTR6,9
Q8TDV5_GPR119,9
Q92793_CREBBP,9
Q92847_GHSR,9
Q9BRH5_DGAT1,9
O96020_CCNE2,9
Q92769_HDAC2,9
O14965_AURKA,9
P07900_HSP90AA1,9
Q09472_EP300,9
Q05513_PRKCZ,9
O14842_FFAR1,9
Q8WW43_APH1B,9
O75762_TRPA1,9
P55055_NR1H2,9
P56524_HDAC4,9
Q09428_ABCC8,9
P07949_RET,9
P23458_JAK1,9
Q8TDU6_GPBAR1,9
O15111_CHUK,9
Q9Y478_PRKAB1,9
Q99720_SIGMAR1,9
Q96KQ7_EHMT2,9
O75116_ROCK2,9
Q14432_PDE3A,9
P52333_JAK3,9
P35228_NOS2,9
P09619_PDGFRB,9
Q96BI3_APH1A,9
P39900_MME,9
P32297_CHRNA3,9
P06241_FYN,9
P12821_ACE,9
P13945_ADRB3,9
P18031_PTPN1,9
Q99988_PDF,8
P11387_TOP1,8
P41597_CCR2,8
P46098_HTR3A,8
Q13639_HTR4,8
O43613_HCRTR1,8
O95180_CACNA1H,8
Q02127_DHODH,8
O14744_PRMT5,8
P11597_CETP,8
P04626_ERBB2,8
P42892_ECE1,8
P60568_IL2,8
P11511_CYP19A1,8
Q9H4B7_TUBB1,8
P21731_TBXA2R,8
P30556_AGTR1,8
P43235_CTSK,8
Q99500_S1PR3,8
Q16790_CA9,8
P05106_ITGB3,8
O00555_CACNA1A,8
P17612_PRKACA,8
P36897_TGFBR1,8
Q16236_NFE2L2,8
P34969_HTR7,8
Q8WWL7_CCNB3,8
O00222_GRM8,8
Q13464_ROCK1,8
P20231_TPSB2,8
Q96SW2_CRBN,8
P34972_CNR2,8
P35408_PTGER4,8
Q9Y5Y4_PTGDR2,8
P43166_CA7,8
P0DPD6_ECE2,8
P25025_CXCR2,8
P33402_GUCY1A2,8
Q05397_PTK2,8
Q02750_MAP2K1,8
P41145_OPRK1,8
P07237_P4HB,8
P00747_PLG,8
Q14831_GRM7,7
Q00975_CACNA1B,7
P30536_TSPO,7
P08069_IGF1R,7
Q13370_PDE3B,7
Q07820_MCL1,7
Q93009_USP7,7
O00763_ACACB,7
Q14833_GRM4,7
Q92633_LPAR1,7
Q06432_CACNG1,7
P16234_PDGFRA,7
Q9NYK1_TLR7,7
Q6V1X1_DPP8,7
P06756_ITGAV,7
Q9Y233_PDE10A,7
P07858_CTSB,7
P16050_ALOX15,7
Q15858_SCN9A,7
P19793_RXRA,7
Q00987_MDM2,7
Q96RI1_NR1H4,7
P98170_XIAP,7
P43116_PTGER2,7
Q86TI2_DPP9,7
P54646_PRKAA2,7
P43405_SYK,7
Q99928_GABRG3,7
Q07343_PDE4B,7
Q8N1C3_GABRG1,7
Q14524_SCN5A,7
P12268_IMPDH2,7
P20839_IMPDH1,7
P27815_PDE4A,7
P51164_ATP4B,7
P04818_TYMS,7
Q15722_LTB4R,7
P21397_MAOA,7
P09960_LTA4H,7
P41143_OPRD1,7
P30926_CHRNB4,7
P05067_APP,7
P28074_PSMB5,7
P11309_PIM1,7
Q9Y5X9_LIPG,7
P18825_ADRA2C,7
Q13490_BIRC2,7
Q01959_SLC6A3,7
P22607_FGFR3,7
Q07817_BCL2L1,7
Q86X55_CARM1,7
P31639_SLC5A2,7
Q99572_P2RX7,7
P30542_ADORA1,7
P25021_HRH2,7
Q02108_GUCY1A1,7
P20648_ATP4A,7
P22455_FGFR4,7
P45452_MMP13,7
Q13546_RIPK1,6
P00374_DHFR,6
P51681_CCR5,6
Q96EB6_SIRT1,6
P60842_EIF4A1,6
Q71U36_TUBA1A,6
Q15842_KCNJ8,6
Q15119_PDK2,6
P49354_FNTA,6
Q9Y5Y9_SCN10A,6
P51531_SMARCA2,6
P08684_CYP3A4,6
P62942_FKBP1A,6
Q12791_KCNMA1,6
O15460_P4HA2,6
P47870_GABRB2,6
O14980_XPO1,6
Q9H244_P2RY12,6
Q00535_CDK5,6
P36639_NUDT1,6
P21452_TACR2,6
P28062_PSMB8,6
