uniprot	gene	inchikey	smiles
O00329	PIK3CD	VHBAXDNZLJTAHW-IBGZPJMESA-N	COc1ncc(N2CCc3ncnc(O[C@H]4CCN(C(=O)C5CCOCC5)C4)c3C2)cc1C
O00329	PIK3CD	MWKYMZXCGYXLPL-ZDUSSCGKSA-N	CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1
O00329	PIK3CD	IFSDAJWBUCMOAH-HNNXBMFYSA-N	CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1
O00329	PIK3CD	XBNSDTLFWKORGH-UHFFFAOYSA-N	Cc1cc(NC(=O)CCNC(=O)Nc2nc(C)c(-c3ccc(-n4cccn4)cc3)s2)no1
O00329	PIK3CD	SCQRJDHPTBHJPH-YFHOEESVSA-N	O=C1NC(=S)S/C1=C1/CCOc2ccc(F)cc21
O00329	PIK3CD	TYLTZPAGUBOPCU-UHFFFAOYSA-N	Cc1ccccc1-n1c(Cn2nc(-c3ccc(O)c(F)c3)c3c(N)ncnc32)nc2cccc(C)c2c1=O
O00329	PIK3CD	VXJBGHCGMXIXTO-INIZCTEOSA-N	Cc1cccnc1-c1c(-c2ccccn2)c([C@H](C)Nc2ncnc(N)c2C#N)nc2ccc(F)cc12
O00329	PIK3CD	QYTXJLQBSYAMGR-UHFFFAOYSA-N	COc1ncc(-c2ccc3ncnc(-c4cccc(C(=O)N5CCN(C(C)=O)CC5)c4)c3c2)cc1C#N
O00329	PIK3CD	SJVQHLPISAIATJ-ZDUSSCGKSA-N	C[C@H](Nc1ncnc2[nH]cnc12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1
O00329	PIK3CD	GHKMIOAEPALCFS-UHFFFAOYSA-N	Cc1ccc2c(c1)C(=O)N(C)c1cnc(Nc3cccc(S(=O)(=O)N4CCC(O)CC4)c3)nc1N2C
O00329	PIK3CD	YMQHMPUWBKBXEA-UHFFFAOYSA-N	COc1ccc(Nc2cc(-c3cccc(O)c3)nc(N3CCOCC3)n2)cn1
O00329	PIK3CD	GYLDXIAOMVERTK-UHFFFAOYSA-N	CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21
O00329	PIK3CD	YWDAJLXJSLKKPA-UHFFFAOYSA-N	Cc1ncc(-c2ccc3ncc4c(c3c2)n(-c2cn(C)nc2C)c(=O)n4C)cc1OC(C)C
O00329	PIK3CD	JKMWINSPNJPJSO-UHFFFAOYSA-N	Cc1nn(C)cc1-n1c(=O)n(C)c2cnc3ccc(-c4cncc(OC(C)C)c4)cc3c21
O00329	PIK3CD	LEOIKBCGRYIEBD-UHFFFAOYSA-N	CNC(=O)c1ccc(-c2ccc3ncc4c(c3c2)n(-c2cn(C)nc2Cl)c(=O)n4C)cc1
O00329	PIK3CD	GVPAGJWVBUZHNQ-UHFFFAOYSA-N	Cc1nc2cnc3ccc(C#Cc4cccnc4)cc3c2n1-c1ccc(C(C)(C)C#N)cc1
O00329	PIK3CD	ISHNPDWTQUXPSY-UHFFFAOYSA-N	Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(C#Cc4cccnc4)ccc3ncc21
O00329	PIK3CD	OCQPKQVXUZWWQU-UHFFFAOYSA-N	COc1ncc(-c2ccc3ncc4c(c3c2)n(-c2cn(C(C)C)nc2C)c(=O)n4C)c(OC)n1
O00329	PIK3CD	XTDZQFNXZCQIIJ-UHFFFAOYSA-N	CCNc1cc(-c2ccc3ncc4c(c3c2)n(-c2cn(CC)nc2C)c(=O)n4C)cnc1COC
O00329	PIK3CD	MUOKSQABCJCOPU-UHFFFAOYSA-N	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12
