uniprot	gene	inchikey	smiles
O00748	CES2	PPLNRTPNYCWODC-UHFFFAOYSA-N	O=C(Nc1ccc(Cl)cc1)c1cc2c(cc1O)[nH]c1ccccc12
O00748	CES2	WURBFLDFSFBTLW-UHFFFAOYSA-N	O=C(C(=O)c1ccccc1)c1ccccc1
O00748	CES2	YNANGXWUZWWFKX-UHFFFAOYSA-N	COc1ccc(C(=O)C(=O)c2ccc(OC)cc2)cc1
O00748	CES2	GPDKREBNFFEDHW-UHFFFAOYSA-N	O=C(C(=O)c1ccc([N+](=O)[O-])cc1)c1ccccc1
O00748	CES2	DCKZGFRFXGBGOQ-UHFFFAOYSA-N	O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1)c1ccc(Cl)cc1
O00748	CES2	AAOYLOCWJSLLJU-UHFFFAOYSA-N	O=C(C(=O)c1cc(Br)ccc1O)c1cc(Br)ccc1O
O00748	CES2	NTINAJCDYRYMML-UHFFFAOYSA-N	COc1ccc(C(=O)C(=O)c2ccccc2)cc1
O00748	CES2	BCWCEHMHCDCJAD-UHFFFAOYSA-N	Cc1ccc(C(=O)C(=O)c2ccc(C)cc2)cc1
O00748	CES2	XMAWUPHYEABFDR-UHFFFAOYSA-N	O=C(C(=O)c1ccc(Cl)cc1)c1ccc(Cl)cc1
O00748	CES2	XNUCDMDHVWJDIP-UHFFFAOYSA-N	O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)c2ccccc12)c1ccc(Cl)cc1
O00748	CES2	VOSNNSVWVJFJCR-UHFFFAOYSA-N	O=C(C(=O)c1ccccc1Cl)c1ccccc1Cl
