uniprot	gene	inchikey	smiles
O15264	MAPK13	OAGYIOQZUSMRQV-UHFFFAOYSA-N	CC(=O)Nc1nc(-c2cccc(C)c2)c(-c2ccncc2)s1
O15264	MAPK13	STRAIBOPIVXLQO-UHFFFAOYSA-N	Nc1nc(N)c(F)c(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)c1F
O15264	MAPK13	GFMMXOIFOQCCGU-UHFFFAOYSA-N	O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl
O15264	MAPK13	IBCXZJCWDGCXQT-UHFFFAOYSA-N	c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1
O15264	MAPK13	CUHVIMMYOGQXCV-UHFFFAOYSA-N	Cc1cccc(C(C)c2cnc[nH]2)c1C
O15264	MAPK13	DVEXZJFMOKTQEZ-JYFOCSDGSA-N	N#CC(=C(/N)Sc1ccccc1N)/C(C#N)=C(\N)Sc1ccccc1N
O15264	MAPK13	MVCOAUNKQVWQHZ-UHFFFAOYSA-N	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1
O15264	MAPK13	QHMBSVQNZZTUGM-ZWKOTPCHSA-N	C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O
O15264	MAPK13	GDQXJQSQYMMKRA-UHFFFAOYSA-N	CC(C)(C)n1nc(Cc2cccc3ccccc23)c2c(N)ncnc21
O15264	MAPK13	XSHQBIXMLULFEV-UHFFFAOYSA-N	CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc21
O15264	MAPK13	BEPGKLOHQTXUHX-UHFFFAOYSA-N	Nc1nc(-c2ccc(Cl)c(Cl)c2)c(-c2ccncc2)s1
