uniprot	gene	inchikey	smiles
O15379	HDAC3	FPOHNWQLNRZRFC-ZHACJKMWSA-N	Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1
O15379	HDAC3	JWOGUUIOCYMBPV-GMFLJSBRSA-N	CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O
O15379	HDAC3	BLVQHYHDYFTPDV-VCABWLAWSA-N	Nc1cc(F)ccc1NC(=O)/C=C/c1cnn(C/C=C/c2ccccc2)c1
O15379	HDAC3	OBKXEAXTFZPCHS-UHFFFAOYSA-N	O=C(O)CCCc1ccccc1
O15379	HDAC3	GYKLFBYWXZYSOW-UHFFFAOYSA-N	CCCC(=O)OCOC(=O)C(C)(C)C
O15379	HDAC3	RTKIYFITIVXBLE-WKWSCTOISA-N	CC(/C=C/C(=O)NO)=C\C(C)C(=O)c1ccc(N(C)C)cc1
O15379	HDAC3	ZAIULUYKQLVQFH-UHFFFAOYSA-N	Nc1ccccc1NC(=O)CCCCCC(=O)Nc1ccccc1
O15379	HDAC3	HRNLUBSXIHFDHP-UHFFFAOYSA-N	Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1
O15379	HDAC3	WAEXFXRVDQXREF-UHFFFAOYSA-N	O=C(CCCCCCC(=O)Nc1ccccc1)NO
O15379	HDAC3	INVTYAOGFAGBOE-UHFFFAOYSA-N	Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1
O15379	HDAC3	SGYJGGKDGBXCNY-ZDIDWYTNSA-N	CC1(C)NC(=O)[C@H](CCCCCC(=O)C2CO2)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O
O15379	HDAC3	BVQCFCYPFJOOAV-UHFFFAOYSA-N	CCCCNNC(=O)c1ccc(Br)cc1
O15379	HDAC3	VJXBYUITQBTTQM-DSRNDQRRSA-N	CC[C@H](C)[C@H]1NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](CCSC)C(=O)N2)OC(=O)C[C@@H]1O
O15379	HDAC3	VAZAPHZUAVEOMC-UHFFFAOYSA-N	CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1
