uniprot	gene	inchikey	smiles
O43570	CA12	QCDFBFJGMNKBDO-UHFFFAOYSA-N	Oc1c(I)cc(Cl)c2cccnc12
O43570	CA12	BGRJTUBHPOOWDU-UHFFFAOYSA-N	CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
O43570	CA12	ORHBXUUXSCNDEV-UHFFFAOYSA-N	O=c1ccc2ccc(O)cc2o1
O43570	CA12	DSLPMJSGSBLWRE-UHFFFAOYSA-N	NS(=O)(=O)Oc1ccc2c3c(c(=O)oc2c1)CCCCC3
O43570	CA12	XPEIJWZLPWNNOK-UHFFFAOYSA-N	OB(O)c1ccc(-c2ccccc2)cc1
O43570	CA12	AQCHWTWZEMGIFD-UHFFFAOYSA-N	Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
O43570	CA12	NDDAHWYSQHTHNT-UHFFFAOYSA-N	CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
O43570	CA12	JIVPVXMEBJLZRO-UHFFFAOYSA-N	NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
O43570	CA12	IAVUPMFITXYVAF-XPUUQOCRSA-N	CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
O43570	CA12	GJQPMPFPNINLKP-UHFFFAOYSA-N	NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
O43570	CA12	QOAXQANKSMHFKJ-UHFFFAOYSA-N	Nc1nccc(Nc2ccc(S(N)(=O)=O)cc2)n1
O43570	CA12	KJADKKWYZYXHBB-XBWDGYHZSA-N	CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1
O43570	CA12	BZKPWHYZMXOIDC-UHFFFAOYSA-N	CC(=O)Nc1nnc(S(N)(=O)=O)s1
