uniprot	gene	inchikey	smiles
O43614	HCRTR2	COFVZFLCAOUMJT-OAQYLSRUSA-N	COc1cc2c(cc1OC)CN(C(=O)[C@@H](NCc1ccncc1)C(C)(C)C)CC2
O43614	HCRTR2	XCHAQSBFCMITMW-OAQYLSRUSA-N	CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@H](CCNC(=O)c1ccccn1)Cc1ccccc1
O43614	HCRTR2	KJPHTXTWFHVJIG-UHFFFAOYSA-N	CCN(Cc1cccnc1)C(=O)CN(c1ccc(OC)nc1)S(=O)(=O)c1ccccc1C
O43614	HCRTR2	ZNRAIJHKWVDFLC-UHFFFAOYSA-N	COc1ccc(CNC(=O)c2cc(-c3cncc(C)c3)cnc2-c2cccc(F)c2)nc1OC
O43614	HCRTR2	SQOCEMCKYDVLMM-IYBDPMFKSA-N	Cc1cc(C)nc(N2C[C@H]3CN(C(=O)c4c(F)cccc4-n4nccn4)C[C@H]3C2)n1
O43614	HCRTR2	QIFHYQSASFBJSW-VWLHBSKXSA-N	CC[C@](C)(O)c1nc([C@@H]2CC[C@@H](C)N(C(=O)c3cscc3-n3nccn3)C2)oc1C
O43614	HCRTR2	YSBGRVXJEMSEQY-DEOSSOPVSA-N	Cn1c(SCC(=O)N2CCC[C@H]2C(=O)Nc2ccccc2-c2ccccc2)nc2ccccc21
O43614	HCRTR2	AZLAMPLFUDZOPO-HSZRJFAPSA-N	CN(C(=O)c1cccc2ccccc12)[C@H](CCNC(=O)c1ccccn1)Cc1ccc(F)cc1
O43614	HCRTR2	DKMACHNQISHMDN-RPLLCQBOSA-N	CNC(=O)[C@@H](c1ccccc1)N1CCc2cc(OC)c(OC)cc2[C@@H]1CCc1ccc(C(F)(F)F)cc1
O43614	HCRTR2	ZJXIUGNEAIHSBI-IBGZPJMESA-N	Cc1nc(C(=O)N2CCCC[C@H]2CNC(=O)c2cccc3occc23)c(-c2ccc(F)cc2)s1
O43614	HCRTR2	JYTNQNCOQXFQPK-MRXNPFEDSA-N	Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CC[C@H]2C)c1
O43614	HCRTR2	NPFDWHQSDBWQLH-QZTJIDSGSA-N	Cc1ccc(-c2ncccn2)c(C(=O)N2C[C@H](COc3ccc(F)cn3)CC[C@H]2C)c1
