uniprot	gene	inchikey	smiles
O60341	KDM1A	IRXNZDLBTXVBDW-STEQJIOHSA-N	NC1CC1c1ccc(OCC[C@H](NC(=O)c2ccccc2)C(=O)NCc2ccccc2)cc1
O60341	KDM1A	PAXGPAVOMLKKDQ-IIZJFRANSA-N	CC(N[C@H]1C[C@@H]1c1ccccc1)c1ccc2c(c1)OCCO2
O60341	KDM1A	QSJWHWXROPOHCT-UHFFFAOYSA-N	C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2cc(OC)c(OC)c(OC)c2)n1
O60341	KDM1A	NKUDGJUBIVEDTF-FYJGNVAPSA-N	C/C(=N\NC(=O)c1cccc(S(=O)(=O)N2CCOCC2)c1)c1cc(Cl)ccc1O
O60341	KDM1A	GZHYLNMRATZHOJ-YADHBBJMSA-N	CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(OCc3ccc(Cl)cc3)cc2)CC1
O60341	KDM1A	IQVDLEXWAPYWDT-LJQANCHMSA-N	Cc1ccc(-c2ncc(OC[C@@H]3CCNC3)cc2-c2ccc(C#N)cc2)cc1
O60341	KDM1A	OYAVBDAJSOIJJO-UHFFFAOYSA-N	Cc1cc2c(cc1C#N)c(-c1cccc(N)c1C)cn2C1CCC(O)CC1
O60341	KDM1A	TXGIXVXSJROFEA-UHFFFAOYSA-N	c1ccc(CSc2nc(Sc3ccccn3)c3nnn(Cc4ccccc4)c3n2)cc1
O60341	KDM1A	ALHBJBCQLJZYON-ZQDZILKHSA-N	N[C@H]1CC[C@H](N[C@@H]2C[C@H]2c2ccccc2)CC1
O60341	KDM1A	BASFYRLYJAZPPL-UONOGXRCSA-N	c1ccc([C@@H]2C[C@H]2NC2CCNCC2)cc1
