uniprot	gene	inchikey	smiles
O60674	JAK2	JVDOKQYTTYUYDV-UHFFFAOYSA-N	Cc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1
O60674	JAK2	GODKPWYLLOOFQL-KDURUIRLSA-N	C[C@H]1CN(c2ccc(Nc3ncc4ccn(-c5cc(F)c(CN6CCOCC6)c(F)c5)c4n3)cn2)C[C@@H](C)N1
O60674	JAK2	TUCIOBMMDDOEMM-RIYZIHGNSA-N	N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCc1ccccc1
O60674	JAK2	JQPRGQUCEBDPDB-UHFFFAOYSA-N	COc1cc(-c2cnc3[nH]cc(C(=O)C(C)(C)C)c3n2)cc(OC)c1OC
O60674	JAK2	DVEXZJFMOKTQEZ-JYFOCSDGSA-N	N#CC(=C(/N)Sc1ccccc1N)/C(C#N)=C(\N)Sc1ccccc1N
O60674	JAK2	JQCVAFOYJFAYQU-UHFFFAOYSA-N	CC(=O)Nc1ccc(-c2cccc3nc(Nc4ccc(N5CCOCC5)cc4)oc23)cc1
O60674	JAK2	JOOXLOJCABQBSG-UHFFFAOYSA-N	Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1
O60674	JAK2	LBZZVBOHWAZYRL-UHFFFAOYSA-N	CN1CCN(c2ccc(-c3cnc4cccc(-c5cc(F)c(CN6CCOCC6)c(F)c5)c4n3)cc2)CC1
O60674	JAK2	ZVHNDZWQTBEVRY-UHFFFAOYSA-N	N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1
O60674	JAK2	PDOQBOJDRPLBQU-QMMMGPOBSA-N	Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)n[nH]1
O60674	JAK2	IBPVXAOOVUAOKJ-UHFFFAOYSA-N	Fc1cc(-c2cccc3ncc(-c4cnn(C5CCNCC5)c4)nc23)cc(F)c1CN1CCOCC1
O60674	JAK2	UJLAWZDWDVHWOW-YPMHNXCESA-N	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12
O60674	JAK2	HFNKQEVNSGCOJV-OAHLLOKOSA-N	N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1
O60674	JAK2	DIAXGSXBDZNLPK-UHFFFAOYSA-N	Cc1nccc(Nc2cc(NC3CCN(c4ccc(C#N)cc4)CC3)c(C(N)=O)cn2)n1
O60674	JAK2	RIJLVEAXPNLDTC-UHFFFAOYSA-N	O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1
