uniprot	gene	inchikey	smiles
O60885	BRD4	NETXMUIMUZJUTB-UHFFFAOYSA-N	COc1cc(OC)c2c(=O)[nH]c(-c3cc(C)c(OCCO)c(C)c3)nc2c1
O60885	BRD4	DNVXATUJJDPFDM-KRWDZBQOSA-N	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2
O60885	BRD4	VUVUVNZRUGEAHB-CYBMUJFWSA-N	COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12
O60885	BRD4	QECMENZMDBOLDR-AWEZNQCLSA-N	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(N)=O)c1nnc(C)n1-2
O60885	BRD4	RDONXGFGWSSFMY-UHFFFAOYSA-N	CCS(=O)(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cn(C)c(=O)c3[nH]ccc23)c1
O60885	BRD4	GNMUEVRJHCWKTO-HXUWFJFHSA-N	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@H](CC(=O)Nc1ccc(O)cc1)c1nnc(C)n1-2
O60885	BRD4	AAAQFGUYHFJNHI-SFHVURJKSA-N	CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21
O60885	BRD4	TXZPMHLMPKIUGK-UHFFFAOYSA-N	COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)N2
O60885	BRD4	RSMYFSPOTCDHHJ-GOSISDBHSA-N	COc1nnc2ccc(N3CCC(c4ccc(OCCN5CCN(C)C(=O)[C@H]5C)cc4)CC3)nn12
O60885	BRD4	WVIPVRJNDZWQGP-UHFFFAOYSA-N	Cc1cc2[nH]c(=O)cc(C)c2cc1NC(=O)c1cc(S(=O)(=O)N(C)C)ccc1N1CCOCC1
O60885	BRD4	OSFZBGUNRGOXKG-UHFFFAOYSA-N	Cc1cc(=O)[nH]c2ccc(NC(=O)c3cccnc3N3CCOCC3)cc12
O60885	BRD4	VHBWMURBYGDRGO-LBPRGKRZSA-N	CNC(=O)c1cc(C(=O)Nc2cn[nH]c2)cc([C@@H](C)c2ccccc2)n1
O60885	BRD4	XQVVPGYIWAGRNI-JOCHJYFZSA-N	CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1
O60885	BRD4	JOOXLOJCABQBSG-UHFFFAOYSA-N	Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1
O60885	BRD4	PXGREUPWZAUELV-LJQANCHMSA-N	Cc1nn(C2CC2)c2c1[C@@H](c1ccc(Cl)cc1)N(c1cc(C)c(=O)n(C)c1)C2=O
O60885	BRD4	OEDSFMUSNZDJFD-UHFFFAOYSA-N	CCNC(=O)c1cc2c(-c3cc(C(C)(C)O)ccc3Oc3c(C)cc(F)cc3C)cn(C)c(=O)c2[nH]1
O60885	BRD4	FAWSUKOIROHXAP-NPMXOYFQSA-N	CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C
O60885	BRD4	ARWMKZDWGIOCEU-AREMUKBSSA-N	CC(=O)N1c2ccc(C3=CCNCC3)cc2N(Cc2ccccc2CO)C[C@@H]1C1CC1
