uniprot	gene	inchikey	smiles
O75530	EED	QBTUKQKTXYTWPD-UHFFFAOYSA-N	N#Cc1c2c(c3nncn3c1NCc1ccco1)CN(Cc1ccccc1)CC2
O75530	EED	XONOYNOZMFMROO-UHFFFAOYSA-N	N#Cc1cc(-c2ccccc2F)c2nncn2c1NCc1ccco1
O75530	EED	NRHUXQVZPSEKDF-UHFFFAOYSA-N	COc1cccc(F)c1CNc1ccc(-c2cccnc2C)c2nncn12
O75530	EED	XLIBABIFOBYHSV-UHFFFAOYSA-N	Cc1ncccc1-c1cnc(NCc2c(F)ccc3c2CCO3)n2cnnc12
O75530	EED	OHVGZODROPSVRZ-UHFFFAOYSA-N	COc1cccc(F)c1CNc1ccc(-c2cnc(C)nc2C)c2nncn12
O75530	EED	DYIRSNMPIZZNBK-UHFFFAOYSA-N	CS(=O)(=O)c1ccc(-c2cnc(NCc3ccco3)n3cnnc23)cc1
O75530	EED	JOAXXJJQMAVHPP-UHFFFAOYSA-N	CS(=O)(=O)c1ccc(-c2cnc(NCc3c(F)ccc4c3CCO4)n3cnc(S(C)(=O)=O)c23)cc1
O75530	EED	ZGCGVCMUJCQTAY-UHFFFAOYSA-N	Cc1nc(N2CC(C)NC(C)C2)ncc1-c1cnc(NCc2c(F)ccc3c2CCO3)n2cnc(C#N)c12
O75530	EED	QXOWLBKQZJYDBS-UHFFFAOYSA-N	CCc1ccc(-c2cnc(NCc3c(F)ccc4c3CCO4)n3cnnc23)c(C)n1
O75530	EED	REVJNSVNICWODC-KIDMSAQOSA-N	CN(C)[C@H]1CN(C2CCc3cccc(F)c32)C[C@@H]1c1ccc(N2CCN(S(C)(=O)=O)CC2)cc1
