uniprot	gene	inchikey	smiles
O76074	PDE5A	WOXKDUGGOYFFRN-IIBYNOLFSA-N	CN1CC(=O)N2[C@H](Cc3c([nH]c4ccccc34)[C@H]2c2ccc3c(c2)OCO3)C1=O
O76074	PDE5A	NMTKJEZOWHRAQY-UHFFFAOYSA-N	COc1ccc2cncc(Cc3nc4c([nH]3)c(=O)n(C)c(=O)n4CC(C)C)c2c1
O76074	PDE5A	AWIVHRPYFSSVOG-UHFFFAOYSA-N	Fc1ccc(CNc2ncnc3ccc(F)cc23)cc1
O76074	PDE5A	MFKZGAAAKCDLHM-UHFFFAOYSA-N	CCOc1cnccc1-c1nc2c(c(CC)nn2C2CCCC2)c(=O)[nH]1
O76074	PDE5A	CZWVHOJDIJIJOH-UHFFFAOYSA-N	O=C1c2ccccc2C(=O)N1c1ccc(S(=O)(=O)N2CCOCC2)cc1
O76074	PDE5A	CRFFZGAVKNNBKJ-UHFFFAOYSA-N	CCCOc1ccc(NS(C)(=O)=O)cc1-c1nc2c(c(C)nn2C)c(=O)[nH]1
O76074	PDE5A	NGKJYYMHPLWVQZ-AFPLUKJUSA-N	COc1ccc([C@@H]2c3[nH]c4ccccc4c3C[C@H]3C(=O)N(CCC4CCN(Cc5ccccc5)CC4)CC(=O)N32)cc1
O76074	PDE5A	REZGGXNDEMKIQB-UHFFFAOYSA-N	CCCOc1ccccc1-c1nc(=O)c2nn[nH]c2[nH]1
O76074	PDE5A	BYPFEZZEUUWMEJ-UHFFFAOYSA-N	CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
O76074	PDE5A	BNRNXUUZRGQAQC-UHFFFAOYSA-N	CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
O76074	PDE5A	IZEKFCXSFNUWAM-UHFFFAOYSA-N	OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
