uniprot	gene	inchikey	smiles
P00533	EGFR	OONFNUWBHFSNBT-HXUWFJFHSA-N	CCN1CCN(Cc2ccc(-c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)cc2)CC1
P00533	EGFR	AAKJLRGGTJKAMG-UHFFFAOYSA-N	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
P00533	EGFR	WVUNYSQLFKLYNI-AATRIKPKSA-N	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C
P00533	EGFR	GOVANMMKAZSZDV-OAHLLOKOSA-N	CCC(=O)Nc1cccc(-c2cc3c(N[C@H](C)c4ccccc4)ncnc3[nH]2)c1
P00533	EGFR	BCFGMOOMADDAQU-UHFFFAOYSA-N	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
P00533	EGFR	XRYJULCDUUATMC-CYBMUJFWSA-N	C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1
P00533	EGFR	ULXXDDBFHOBEHA-CWDCEQMOSA-N	CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1
P00533	EGFR	LUJZZYWHBDHDQX-QFIPXVFZSA-N	Cc1c(NC(=O)OC[C@@H]2COCCN2)cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12
P00533	EGFR	HXHAJRMTJXHJJZ-UHFFFAOYSA-N	NC(=O)c1c(OCc2c(F)cc(Br)cc2F)nsc1NC(=O)NCCCCN1CCCC1
P00533	EGFR	HOSPRUSAKFDVHP-GOSISDBHSA-N	C[C@@H](Nc1ncnc2[nH]c(-c3ccc(CN4CCNCC4)cc3)cc12)c1ccccc1
P00533	EGFR	RLXDINBVLLERRM-GOSISDBHSA-N	C[C@@H](Nc1ncnc2[nH]c(-c3ccc(CN4CCOCC4)cc3)cc12)c1ccccc1
P00533	EGFR	NFBCSWGEYDCCDW-UHFFFAOYSA-N	Cc1cccc(Nc2ncnc3ccc(N)cc23)c1
P00533	EGFR	SENYAGZCRUTMSW-UHFFFAOYSA-N	O=C(Nc1ccc(F)c(Cl)c1)c1ccc(OCCCN2CCCCC2)cc1O
P00533	EGFR	DUYJMQONPNNFPI-UHFFFAOYSA-N	C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
P00533	EGFR	KIEXMVITNVJBEJ-NBILRRPASA-N	COc1cncc(C(=O)Nc2nc3cccc(C)c3n2[C@@H]2CCCCN(C(=O)/C=C/CN(C)C)C2)c1
P00533	EGFR	ICCFXXDUYSPKOL-UHFFFAOYSA-N	O=[N+]([O-])c1ccc(Sc2cccc[n+]2[O-])c2nonc12
P00533	EGFR	IOMMMLWIABWRKL-WUTDNEBXSA-N	Cc1cc(C(=O)Nc2nc3cccc(Cl)c3n2[C@@H]2CCCCN(C(=O)/C=C/CN(C)C)C2)ccn1
P00533	EGFR	KCECKKYASSKRNU-UHFFFAOYSA-N	C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3-c3ccc(F)cc3)ccn2)c1
P00533	EGFR	UUAOWKSAEYOOIY-UHFFFAOYSA-N	C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC(F)F)ncc2SC)c1
P00533	EGFR	OYNZLGSGMOLHND-UHFFFAOYSA-N	Nc1cccc(Oc2ccnc(Nc3ccccc3O)n2)c1
P00533	EGFR	UPCODGKQZAKIAC-UHFFFAOYSA-N	Nc1ccc(-c2cc3c(N4CCCc5ccccc54)ncnc3[nH]2)cc1
