uniprot	gene	inchikey	smiles
P00742	F10	FBPXLHRHDPRVOH-UHFFFAOYSA-N	Cc1ccc(NC(=O)c2sc3ccccc3c2Cl)c(C(=O)Nc2ccc(F)cc2)c1
P00742	F10	ZLUOAFAJSUPHOG-UHFFFAOYSA-N	CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2cccc(CN)c2)c(F)c1
P00742	F10	KGFYHTZWPPHNLQ-AWEZNQCLSA-N	O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1
P00742	F10	AATHJLXYARFGKZ-UHFFFAOYSA-N	O=C(c1ccc(-c2cc[n+]([O-])cc2)cc1)N1CCN(S(=O)(=O)c2ccc3cc(Cl)ccc3c2)CC1
P00742	F10	PSTBXECIKAJFMC-UHFFFAOYSA-N	O=C(c1ccc(-c2ccncc2)cc1)N1CCN(S(=O)(=O)c2ccc3cc(Cl)ccc3c2)CC1
P00742	F10	DVMCMTVFXINJGW-IRXDYDNUSA-N	O=C(Nc1ccc(Cl)cn1)[C@H]1CN(CC(F)F)C[C@@H]1C(=O)Nc1ccc(-n2ccccc2=O)cc1F
P00742	F10	QNZCBYKSOIHPEH-UHFFFAOYSA-N	COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1
P00742	F10	KGFYHTZWPPHNLQ-CQSZACIVSA-N	O=C(NC[C@@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1
P00742	F10	FXFYPTZERULUBS-SQNIBIBYSA-N	CC(=O)N[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)B(O)O
P00742	F10	SEPJQQWQYNEMDL-UHFFFAOYSA-N	N=C(N)c1ccc2cc(OC(=O)c3ccccc3)ccc2c1
P00742	F10	LMGQGPVCSYOMNS-UHFFFAOYSA-N	N=C(N)c1ccc2[nH]c(-c3cccc(-c4ccccc4)c3O)nc2c1
