uniprot	gene	inchikey	smiles
P00915	CA1	FLKRMXAWABTWSH-UHFFFAOYSA-N	NS(=O)(=O)N1CCCCC1
P00915	CA1	CQGQVNKFCSRASR-UHFFFAOYSA-N	NS(=O)(=O)Oc1ccc(Cl)cc1
P00915	CA1	DEVUYWTZRXOMSI-UHFFFAOYSA-N	NS(=O)(=O)Nc1ccccc1
P00915	CA1	SYKLNLIUTCAYCR-UHFFFAOYSA-N	NS(=O)(=O)NCc1ccccc1
P00915	CA1	AGZMQTIIZFXACL-UHFFFAOYSA-N	NS(=O)(=O)c1ccc(NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1
P00915	CA1	USGGSIVMQBZIHX-UHFFFAOYSA-N	NS(=O)(=O)c1ccc(NS(=O)(=O)c2ccc(F)cc2)cc1
P00915	CA1	ICWBFSCBEZAOCT-UHFFFAOYSA-N	COc1ccc(NS(N)(=O)=O)cc1
P00915	CA1	GOWDFSKVUJAHJJ-UHFFFAOYSA-N	NS(=O)(=O)N1CCCCCC1
P00915	CA1	LYMSPQZKBVKSAH-UHFFFAOYSA-N	NS(=O)(=O)Oc1ccc(-c2ccccc2)cc1
P00915	CA1	FNICBGZPBTURDA-UHFFFAOYSA-N	Cc1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1
P00915	CA1	SYIVDRTWCRQIBC-UHFFFAOYSA-N	CCCCNS(N)(=O)=O
P00915	CA1	IHJCXVZDYSXXFT-UHFFFAOYSA-N	Nc1cc(Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O
P00915	CA1	FDDDEECHVMSUSB-UHFFFAOYSA-N	Nc1ccc(S(N)(=O)=O)cc1
P00915	CA1	TYMRLRRVMHJFTF-UHFFFAOYSA-N	NCc1ccc(S(N)(=O)=O)cc1
P00915	CA1	OUZWUKMCLIBBOG-UHFFFAOYSA-N	CCOc1ccc2nc(S(N)(=O)=O)sc2c1
P00915	CA1	HCODCRHNVCTCTR-UHFFFAOYSA-N	Nc1ccc(S(N)(=O)=O)cc1I
P00915	CA1	YAZSBRQTAHVVGE-UHFFFAOYSA-N	Nc1ccccc1S(N)(=O)=O
P00915	CA1	NOOBQTYVTDBXTL-UHFFFAOYSA-N	NS(=O)(=O)c1nc2ccc(O)cc2s1
P00915	CA1	JBMKAUGHUNFTOL-UHFFFAOYSA-N	NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
P00915	CA1	HMHVCUVYZFYAJI-UHFFFAOYSA-N	NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1
P00915	CA1	ZZUFCTLCJUWOSV-UHFFFAOYSA-N	NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
P00915	CA1	JZUFKLXOESDKRF-UHFFFAOYSA-N	NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
P00915	CA1	GJQPMPFPNINLKP-UHFFFAOYSA-N	NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
P00915	CA1	JIVPVXMEBJLZRO-UHFFFAOYSA-N	NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
P00915	CA1	QOAXQANKSMHFKJ-UHFFFAOYSA-N	Nc1nccc(Nc2ccc(S(N)(=O)=O)cc2)n1
P00915	CA1	IAVUPMFITXYVAF-XPUUQOCRSA-N	CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
P00915	CA1	KJADKKWYZYXHBB-XBWDGYHZSA-N	CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1
P00915	CA1	GDLBFKVLRPITMI-UHFFFAOYSA-N	CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1
P00915	CA1	UAJYCSUKECWQFQ-UHFFFAOYSA-N	CC(C)(C)c1ccc(C(=O)Nc2cccc(S(N)(=O)=O)c2)cc1
P00915	CA1	BZKPWHYZMXOIDC-UHFFFAOYSA-N	CC(=O)Nc1nnc(S(N)(=O)=O)s1
P00915	CA1	UCTWMZQNUQWSLP-VIFPVBQESA-N	CNC[C@H](O)c1ccc(O)c(O)c1
