uniprot	gene	inchikey	smiles
P04150	NR3C1	JBXMHSUKOHUKAV-KIFIMYBHSA-N	COC(=O)[C@@]1(OC(=O)c2ccco2)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C
P04150	NR3C1	CZSDJYXNNJQXBB-UHFFFAOYSA-N	C=CCC1Oc2cccc(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
P04150	NR3C1	JGLXEUNGCCJCDK-UPHHSBJESA-N	CC#C[C@@]1(O)CC[C@@]2(Cc3ccccc3)c3ccc(C(=O)NCc4ccncc4)cc3CC[C@@H]2C1
P04150	NR3C1	MHENZDOHQIFURA-UHFFFAOYSA-N	CNS(=O)(=O)c1cc(C)ccc1C=C1c2ccccc2CCc2ccccc21
P04150	NR3C1	UREBDLICKHMUKA-CXSFZGCWSA-N	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
P04150	NR3C1	JFUAWXPBHXKZGA-IBGZPJMESA-N	CC(C)(C[C@@](O)(Cc1cc2ccncc2[nH]1)C(F)(F)F)c1cc(F)ccc1O
P04150	NR3C1	DFNZYFAJQPLJFI-UHFFFAOYSA-N	C=Cc1cncc2c1CCOC2=O
P04150	NR3C1	BDSYKGHYMJNPAB-LICBFIPMSA-N	CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
P04150	NR3C1	ROBVIMPUHSLWNV-UHFFFAOYSA-N	CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
P04150	NR3C1	VKHAHZOOUSRJNA-GCNJZUOMSA-N	CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C
