uniprot	gene	inchikey	smiles
P07550	ADRB2	ONNGKMAEIWXVBI-UHFFFAOYSA-N	O=c1[nH]c2c(O)ccc(C(O)CNCCc3ccc(OCCCCc4ccccc4)cc3)c2s1
P07550	ADRB2	QZZUEBNBZAPZLX-QFIPXVFZSA-N	CCc1cc2c(cc1CC)CC(NC[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2
P07550	ADRB2	XWTYSIMOBUGWOL-UHFFFAOYSA-N	CC(C)(C)NCC(O)c1cc(O)cc(O)c1
P07550	ADRB2	NDAUXUAQIAJITI-UHFFFAOYSA-N	CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
P07550	ADRB2	XJBCFFLVLOPYBV-UHFFFAOYSA-N	CC(C)(Cc1ccccc1)NCC(O)c1ccc(O)c(NS(C)(=O)=O)c1
P07550	ADRB2	RYBJORHCUPVNMB-UHFFFAOYSA-N	Oc1ccc(CCNCCCCCCNCCc2ccccc2)cc1O
P07550	ADRB2	DBCKRBGYGMVSTI-UHFFFAOYSA-N	O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3ccccc3)c2s1
P07550	ADRB2	BPZSYCZIITTYBL-UHFFFAOYSA-N	COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1
P07550	ADRB2	VFIDUCMKNJIJTO-CZUORRHYSA-N	Cc1ccc(OC[C@@H](O)[C@@H](C)NC(C)C)c2c1CCC2
P07550	ADRB2	BPZSYCZIITTYBL-YJYMSZOUSA-N	COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1
P07550	ADRB2	URWYQGVSPQJGGB-DHUJRADRSA-N	COc1cc(NC(=O)CCN2CCC(OC(=O)Nc3ccccc3-c3ccccc3)CC2)c(Cl)cc1CNC[C@H](O)c1ccc(O)c2[nH]c(=O)ccc12
P07550	ADRB2	GTTZQULJQRNNER-HNNXBMFYSA-N	CC(C)(Cc1ccccc1)NC[C@H](O)c1ccc(O)c2[nH]c(=O)sc12
P07550	ADRB2	QTWVYUJFBIVOHT-SZMVWBNQSA-N	O=c1[nH]c2c(O)ccc([C@@H](O)CN[C@H]3CCC[C@@H]3OCc3ccccc3)c2s1
P07550	ADRB2	JWZZKOKVBUJMES-UHFFFAOYSA-N	CC(C)NCC(O)c1ccc(O)c(O)c1
P07550	ADRB2	AQHHHDLHHXJYJD-UHFFFAOYSA-N	CC(C)NCC(O)COc1cccc2ccccc12
P07550	ADRB2	CEMAWMOMDPGJMB-UHFFFAOYSA-N	C=CCOc1ccccc1OCC(O)CNC(C)C
P07550	ADRB2	UCTWMZQNUQWSLP-VIFPVBQESA-N	CNC[C@H](O)c1ccc(O)c(O)c1
P07550	ADRB2	QXWYKJLNLSIPIN-JGVFFNPUSA-N	N[C@H](C(=O)O)[C@H](O)c1ccc(O)c(O)c1
