uniprot	gene	inchikey	smiles
P08172	CHRM2	UBRKDAVQCKZSPO-UHFFFAOYSA-N	CCN(CC)CC1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc21
P08172	CHRM2	SPHRJZBOFYIKMC-UHFFFAOYSA-N	C#CCOC(=O)C1=CCCN(C)C1
P08172	CHRM2	MZDYABXXPZNUCT-UHFFFAOYSA-N	CCCN(CCC)CC1CCCCN1CCNC(=O)N1c2ccccc2C(=O)Nc2cccnc21
P08172	CHRM2	OLIKCJUMYWSDIV-UHFFFAOYSA-N	Cc1oc2ccccc2c1Cc1cc(I)c(OCC(=O)O)c(I)c1
P08172	CHRM2	RKUNBYITZUJHSG-UHFFFAOYSA-N	CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
P08172	CHRM2	HJJPJSXJAXAIPN-UHFFFAOYSA-N	COC(=O)C1=CCCN(C)C1
P08172	CHRM2	AYQKIBOBFAZBCX-UHFFFAOYSA-N	C1=C(c2cc3ccccc3o2)C2CCN1CC2
P08172	CHRM2	RSDOPYMFZBJHRL-UHFFFAOYSA-N	O=C1CCCN1CC#CCN1CCCC1
P08172	CHRM2	QCHFTSOMWOSFHM-WPRPVWTQSA-N	CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C
P08172	CHRM2	XIQVNETUBQGFHX-UHFFFAOYSA-N	CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
P08172	CHRM2	ANGKOCUUWGHLCE-UHFFFAOYSA-N	C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1
P08172	CHRM2	UVTNFZQICZKOEM-UHFFFAOYSA-N	CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
P08172	CHRM2	QPCVHQBVMYCJOM-UHFFFAOYSA-N	CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1
P08172	CHRM2	DDKOMKXCUXCQBS-UHFFFAOYSA-O	C[N+](C)(C)CC#CCOC(=O)Nc1cccc(Cl)c1
