uniprot	gene	inchikey	smiles
P08253	MMP2	HQWBDYGMTNFAQN-HNNXBMFYSA-N	CC(C)CCN([C@@H](C(=O)NO)C(C)(C)C)S(=O)(=O)c1cccc(Cl)c1
P08253	MMP2	WOFGKOQKJKFJLB-UHFFFAOYSA-N	COCCCc1cc(-c2c[nH]c3cc(C(=O)c4ccc(Cl)c(S(N)(=O)=O)c4)ccc23)ccn1
P08253	MMP2	JXAGDPXECXQWBC-LJQANCHMSA-N	O=C(C[C@H](CSc1ccccc1)C(=O)O)c1ccc(-c2ccc(Cl)cc2)cc1
P08253	MMP2	BSIZUMJRKYHEBR-QGZVFWFLSA-N	COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1
P08253	MMP2	RTBMLCLTYAPKIF-UHFFFAOYSA-N	CC1(c2ccc(Oc3ccccc3)cc2)C(=O)NC(=O)NC1=O
P08253	MMP2	IOINWGCMLYSPAK-UHFFFAOYSA-N	C=CCCOc1ccc(S(=O)(=O)N(CC(=O)NO)Cc2ccc(-n3cncn3)cc2)cc1
P08253	MMP2	YKPYIPVDTNNYCN-INIZCTEOSA-N	CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)[C@H]1C(=O)NO
P08253	MMP2	GYKMAWIYKPLMGN-LADGPHEKSA-N	CC1(C)COC(=O)[C@H]1NC(=O)[C@@H](CC(=O)O)c1ccn(-c2ccc(-c3ccc(C#N)cc3)cc2)c1
P08253	MMP2	JXAGDPXECXQWBC-UHFFFAOYSA-N	O=C(CC(CSc1ccccc1)C(=O)O)c1ccc(-c2ccc(Cl)cc2)cc1
P08253	MMP2	KNCYWVRUUBOHGE-RRFJBIMHSA-N	CNC(=O)[C@@H](NC(=O)[C@H](c1ccc(C)cc1)[C@H](CO)C(=O)NO)C(C)(C)C
P08253	MMP2	IOLRUMINDIUCLJ-RRFJBIMHSA-N	CNC(=O)[C@@H](NC(=O)[C@H](c1ccc(OC)cc1)[C@H](CO)C(=O)NO)C(C)(C)C
