uniprot	gene	inchikey	smiles
P09874	PARP1	DYKFCLLONBREIL-KVUCHLLUSA-N	CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O
P09874	PARP1	MKRGNKRNZLHINT-UHFFFAOYSA-N	COc1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1
P09874	PARP1	JWIYKMOFSFOAAZ-UHFFFAOYSA-N	O=c1[nH]nc2c3ccccc3oc3cccc1c32
P09874	PARP1	FDLYAMZZIXQODN-UHFFFAOYSA-N	O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1
P09874	PARP1	HMABYWSNWIZPAG-UHFFFAOYSA-N	CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1
P09874	PARP1	RVOUDNBEIXGHJY-UHFFFAOYSA-N	O=C1NCCc2c(OCCCCN3CCCCC3)cccc21
P09874	PARP1	UYJZZVDLGDDTCL-UHFFFAOYSA-N	CN(C)CC(=O)Nc1ccc2[nH]c(=O)c3ccccc3c2c1
P09874	PARP1	LFUJIPVWTMGYDG-UHFFFAOYSA-N	O=c1[nH]ccc2c(O)cccc12
P09874	PARP1	GSCPDZHWVNUUFI-UHFFFAOYSA-N	NC(=O)c1cccc(N)c1
P09874	PARP1	MUCVVURUYXBTPX-UHFFFAOYSA-N	O=c1[nH]c2c(Cc3nnn[nH]3)c3ccccc3n2c2ccccc12
P09874	PARP1	JNAHVYVRKWKWKQ-CYBMUJFWSA-N	C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
P09874	PARP1	HWGQMRYQVZSGDQ-HZPDHXFCSA-N	Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1
P09874	PARP1	WWRAFPGUBABZSD-UHFFFAOYSA-N	Nc1ccc2oc(=O)ccc2c1I
P09874	PARP1	KTXBOOWDLPUROC-UHFFFAOYSA-N	CC(CNC(=O)c1cccnc1)NC(=O)c1cccnc1
