uniprot	gene	inchikey	smiles
P0DMS8	ADORA3	IPSYPUKKXMNCNQ-PFHKOEEOSA-N	CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O
P0DMS8	ADORA3	BMSOUOUGKACGBB-UHFFFAOYSA-N	CC(=O)Nc1nc(-c2cc(C)cc(C)c2)c(-c2ccncc2)s1
P0DMS8	ADORA3	ZFLJHSQHILSNCM-UHFFFAOYSA-N	c1nc2c(NC3CCCCC3)nc(Nc3ccc(N4CCOCC4)cc3)nc2[nH]1
P0DMS8	ADORA3	OAGYIOQZUSMRQV-UHFFFAOYSA-N	CC(=O)Nc1nc(-c2cccc(C)c2)c(-c2ccncc2)s1
P0DMS8	ADORA3	KOCIMZNSNPOGOP-IWCJZZDYSA-N	CCCCC#Cc1nc(NC)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1
P0DMS8	ADORA3	KOCIMZNSNPOGOP-WYNAFHSXSA-N	CCCCC#Cc1nc(NC)c2ncn([C@@H]3O[C@H](CO)C(O)[C@@H]3O)c2n1
P0DMS8	ADORA3	TWWFAXQOKNBUCR-UHFFFAOYSA-N	O=C(Cc1ccccc1)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
P0DMS8	ADORA3	YNGFNKUXMJZNCR-UHFFFAOYSA-N	Cc1nccn1-c1sc(Nc2cnccn2)nc1-c1cccc(C#N)c1
P0DMS8	ADORA3	AHJRSKVOELIMOX-RVXWVPLUSA-N	CCCCC#Cc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1
P0DMS8	ADORA3	MOBYSLOKLMGQHM-UHFFFAOYSA-N	COCCOc1cncc(Nc2nc(-c3cccc(C#N)c3)c(-n3cncn3)s2)n1
P0DMS8	ADORA3	BEPGKLOHQTXUHX-UHFFFAOYSA-N	Nc1nc(-c2ccc(Cl)c(Cl)c2)c(-c2ccncc2)s1
P0DMS8	ADORA3	OIRDTQYFTABQOQ-KQYNXXCUSA-N	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
P0DMS8	ADORA3	MSJODEOZODDVGW-UHFFFAOYSA-N	N=c1[nH]c2ccc(Cl)cc2c2nc(-c3ccco3)nn12
