uniprot	gene	inchikey	smiles
P10275	AR	LKJPYSCBVHEWIU-UHFFFAOYSA-N	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
P10275	AR	MUMGGOZAMZWBJJ-DYKIIFRCSA-N	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
P10275	AR	PAFKTGFSEFKSQG-PAASFTFBSA-N	C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2n1cnc2ccccc21
P10275	AR	MKXKFYHWDHIYRV-UHFFFAOYSA-N	CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
P10275	AR	IKMDFBPHZNJCSN-UHFFFAOYSA-N	O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12
P10275	AR	XUZWTJRGKMQTGI-UHFFFAOYSA-N	CC(C)(C)c1nc(Nc2nnc(Cc3ccncc3)c3ccccc23)sc1C#N
P10275	AR	SMSOYFGWXDACGL-UHFFFAOYSA-N	CC(C)Cc1ccc(C(C)Oc2ccc(C(=O)c3cn(CCCC(=O)O)c4ccccc34)cc2)cc1
P10275	AR	GRTGLQACUGKFNM-UHFFFAOYSA-N	O=C(O)CCCCCCCCCCC(=O)Nc1ccccc1OCCCC(=O)O
P10275	AR	URFCJEUYXNAHFI-UHFFFAOYSA-N	O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21
P10275	AR	WUADCCWRTIWANL-UHFFFAOYSA-N	COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1
P10275	AR	WXCXUHSOUPDCQV-UHFFFAOYSA-N	CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F
P10275	AR	RJZJEPYCJHLWQR-TUKIKUTGSA-N	CO[C@@H]1C(c2ccc(C#N)c(Cl)c2C)=NN2CC[C@H](O)[C@@H]12
P10275	AR	JNGVJMBLXIUVRD-SFHVURJKSA-N	C[C@](O)(COc1ccc(C#N)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
P10275	AR	NEIGKFWNVUOILZ-CHDDOINTSA-N	Clc1nccc([C@H]2[C@H](c3ccccc3)[C@H](c3ccnc(Cl)n3)[C@H]2c2ccccc2)n1
P10275	AR	ITRMZYSEZBCBEC-OALUTQOASA-N	Cc1ccc(Cl)cc1N1CCN(C(=O)[C@H]2C[C@H]2c2ccc(F)cc2)CC1
P10275	AR	XOAHEZUFENTGII-UHFFFAOYSA-N	CCNC(=O)c1ccc(Cn2nc(-c3ccc(C#N)cc3)cc2C)cc1
P10275	AR	VFTRKSBEFQDZKX-UHFFFAOYSA-N	c1ccc2c(Cc3c[nH]c4ccccc34)c[nH]c2c1
P10275	AR	VKHAHZOOUSRJNA-GCNJZUOMSA-N	CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C
