uniprot	gene	inchikey	smiles
P10415	BCL2	SBVMSMUUVDMKQT-UHFFFAOYSA-N	O=[N+]([O-])c1cc(S(=O)(=O)n2cc(CO)c3ccccc32)ccc1Cl
P10415	BCL2	ZURNBNBFNSFMLM-UUWRZZSWSA-N	CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)Nc2ncnc3c2CCN(C2CCN(Cc4cc(F)ccc4-c4ccc(Cl)cc4)CC2)C3)cc1S(=O)(=O)C(F)(F)F
P10415	BCL2	LLJSSTLCMHGPSB-UUWRZZSWSA-N	CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)Nc2ncnc3cc(N4CCN(Cc5ccccc5-c5ccc(Cl)cc5)CC4)ccc23)cc1[N+](=O)[O-]
P10415	BCL2	JLYAXFNOILIKPP-KXQOOQHDSA-N	CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1
P10415	BCL2	HPLNQCPCUACXLM-PGUFJCEWSA-N	CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-]
P10415	BCL2	KUFRCLRVAYJMCG-UHFFFAOYSA-N	O=C(c1ccc(CN(Cc2ccc(F)cc2)S(=O)(=O)c2cc(Cl)cc(Cl)c2O)cc1)N(Cc1ccc(F)cc1)Cc1cc(Cl)cc(Cl)c1
P10415	BCL2	TXCIYDFKXAEUNM-UUWRZZSWSA-N	CN(C)CC[C@H](CSc1cccc(Cl)c1)Nc1ccc(S(=O)(=O)Nc2ncnc3c2CCN(C2CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC2)C3)cc1S(=O)(=O)C(F)(F)F
P10415	BCL2	KGSREKFQOUTIEA-JGCGQSQUSA-N	CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)Nc2ncnc3c2CCN(C2CCN(Cc4c(F)cccc4-c4ccc(Cl)cc4)CC2)C3)cc1S(=O)(=O)C(F)(F)F
P10415	BCL2	LQBVNQSMGBZMKD-UHFFFAOYSA-N	CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
P10415	BCL2	KMBFUJJRYOMMRA-UHFFFAOYSA-N	O=[N+]([O-])c1ccccc1Nc1nnc(-c2c[nH]c3ccccc23)o1
