uniprot	gene	inchikey	smiles
P10635	CYP2D6	DTQNEFOKTXXQKV-HKUYNNGSSA-N	COc1ccccc1CN[C@H]1CCCN[C@H]1c1ccccc1
P10635	CYP2D6	XMAYWYJOQHXEEK-OZXSUGGESA-N	CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
P10635	CYP2D6	OQZOXHCRSXYSPM-UHFFFAOYSA-N	CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2
P10635	CYP2D6	ZIWFCOIGUNPHPM-HKUYNNGSSA-N	COc1ccc(OC(F)(F)F)cc1CN[C@H]1CCCN[C@H]1c1ccccc1
P10635	CYP2D6	OVZWUDZIAAHNFG-HXUWFJFHSA-N	CN(C(=O)Cc1ccccc1)[C@H](CN1CCCC1)c1ccccc1
P10635	CYP2D6	GPMXUUPHFNMNDH-UHFFFAOYSA-N	O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1
P10635	CYP2D6	CFOOTBBXHJHHMT-UHFFFAOYSA-N	CC(C)N1CCC(c2ccccc2)(c2ccccc2)CC1
P10635	CYP2D6	ZEUITGRIYCTCEM-KRWDZBQOSA-N	CNCC[C@H](Oc1cccc2ccccc12)c1cccs1
P10635	CYP2D6	XILNRORTJVDYRH-HKUYNNGSSA-N	COc1ccc(-n2nnnc2C(F)(F)F)cc1CN[C@H]1CCCN[C@H]1c1ccccc1
P10635	CYP2D6	LOUPRKONTZGTKE-LHHVKLHASA-N	C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
