uniprot	gene	inchikey	smiles
P10721	KIT	AFMXVBAHMGWYAZ-UHFFFAOYSA-N	Cc1ccc(-c2ccnc(Nc3cc(NC(=O)c4ccc(CN5CCN(C)CC5)cc4)ccc3C)n2)cn1
P10721	KIT	DQICCCTWSVSNRE-UHFFFAOYSA-N	CSc1cc2c(cn1)cc(-c1cc(NC(=O)c3ccccc3)ccc1C)c(=O)n2C
P10721	KIT	NNKGSGUFNSCAOR-UHFFFAOYSA-N	Cc1cc2c(cn1)cc(-c1cc(Nc3noc(-c4ccccn4)n3)ccc1C)c(=O)n2C
P10721	KIT	FEGRQUWSKADGSP-UHFFFAOYSA-N	O=C(Nc1cncnc1)c1c(Cl)ccc2c(Nc3cccc(C(F)(F)F)c3)noc12
P10721	KIT	WIQRRFQGIHYYTD-UHFFFAOYSA-N	Cc1cc2c(cn1)cc(-c1cc(Nc3noc(-c4ccc(Cl)cc4)n3)ccc1C)c(=O)n2C
P10721	KIT	BJLPNVYGKQJTFO-UHFFFAOYSA-N	Cc1ccc(NC(=O)c2ccc3ncsc3c2)cc1Nc1nccc(-c2cccnc2)n1
P10721	KIT	WJEOLQLKVOPQFV-UHFFFAOYSA-N	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1
P10721	KIT	UXXQOJXBIDBUAC-UHFFFAOYSA-N	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1
P10721	KIT	KTUFNOKKBVMGRW-UHFFFAOYSA-N	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
P10721	KIT	ODPGGGTTYSGTGO-UHFFFAOYSA-N	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1
P10721	KIT	YCOYDOIWSSHVCK-UHFFFAOYSA-N	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1
P10721	KIT	GGPZCOONYBPZEW-UHFFFAOYSA-N	O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1
P10721	KIT	FGTCROZDHDSNIO-UHFFFAOYSA-N	O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12
