uniprot	gene	inchikey	smiles
P12931	SRC	WUPXZZWTHIZICK-UHFFFAOYSA-N	COc1cccc(-c2cn(-c3ccc(CCN4CCC(O)CC4)cc3)c3ncnc(N)c23)c1
P12931	SRC	LOGJQOUIVKBFGH-YBEGLDIGSA-N	CN(C)S(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2
P12931	SRC	HUNGUWOZPQBXGX-UHFFFAOYSA-N	O=C(Cc1ccc(-c2ccc(OCCN3CCOCC3)cc2)cn1)NCc1ccccc1
P12931	SRC	MPEAULRVUBBAGO-VQTJNVASSA-N	CCn1cnc2c(Nc3ccc(S(=O)(=O)N4CCCCC4)cc3)nc(N[C@@H]3CCCC[C@@H]3C(N)=O)nc21
P12931	SRC	GMPQGWXPDRNCBL-UHFFFAOYSA-N	COc1cc(-c2nn(CCN3CCC(N(C)C)CC3)c3ncnc(N)c23)ccc1NC(=O)OC(C)(C)C
P12931	SRC	ZIQFYVPVJZEOFS-UHFFFAOYSA-N	Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(CO)c3)nc21
P12931	SRC	UPCODGKQZAKIAC-UHFFFAOYSA-N	Nc1ccc(-c2cc3c(N4CCCc5ccccc54)ncnc3[nH]2)cc1
P12931	SRC	AZGIWMKLPRJOPT-UHFFFAOYSA-N	Cc1nc2c(-c3cccc(N4CCN(C)CC4)c3)cnn2c(N)c1-c1ccc(F)cc1
P12931	SRC	PBBRWFOVCUAONR-UHFFFAOYSA-N	CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21
P12931	SRC	OUKYUETWWIPKQR-UHFFFAOYSA-N	CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1
P12931	SRC	ZVPDNRVYHLRXLX-UHFFFAOYSA-N	Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1
P12931	SRC	CEUORZQYGODEFX-UHFFFAOYSA-N	O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
P12931	SRC	ZBNZXTGUTAYRHI-UHFFFAOYSA-N	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
