uniprot	gene	inchikey	smiles
P13569	CFTR	PURKAOJPTOLRMP-UHFFFAOYSA-N	CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
P13569	CFTR	JIMHYXZZCWVCMI-RIYZIHGNSA-N	O=C(O)c1ccc(/C=C2/SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1
P13569	CFTR	USHQRIKZLHNPQR-JTQLQIEISA-N	COc1nc(C(=O)NC[C@](C)(O)C(F)(F)F)c(N)cc1C(F)(F)F
P13569	CFTR	UFSKUSARDNFIRC-UHFFFAOYSA-N	Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1
P13569	CFTR	XRPSUWYWZUQALB-UHFFFAOYSA-N	CCOc1ccc2c(-c3cccc(F)c3)nn(CC(=O)N(C)c3ccc4nc(C)oc4c3)c(=O)c2c1
P13569	CFTR	MJUVRTYWUMPBTR-MRXNPFEDSA-N	CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO
P13569	CFTR	GHTGYZMBQPXTCQ-UHFFFAOYSA-N	CC1(C)Cc2c(sc(NC(=O)c3ccn[nH]3)c2C(N)=O)C(C)(C)O1
P13569	CFTR	FIKIIYZRADISQS-UHFFFAOYSA-N	COc1ccccc1Nc1nc(-c2cc3cccc(N)c3oc2=O)cs1
P13569	CFTR	YULHJGMZULHTCR-UHFFFAOYSA-N	Cc1nc2ccc(S(=O)(=O)N3CCC(n4c(-c5ccncc5F)nc5cccnc54)CC3)cc2o1
P13569	CFTR	UMOGNCVNHXWFIX-VIFPVBQESA-N	C[C@H](O)CNC(=O)c1ncc(S(=O)(=O)c2ccc(OC(F)(F)F)cc2)cc1N
P13569	CFTR	UDSDTHJUIFWYES-UHFFFAOYSA-N	CCOc1ccc2c(-c3cccc(Cl)c3)nn(CC(=O)N(c3ccc4nc(C)oc4c3)C3CC3)c(=O)c2c1
P13569	CFTR	OOUGLTULBSNHNF-UHFFFAOYSA-N	O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1
