uniprot	gene	inchikey	smiles
P14416	DRD2	KLBQZWRITKRQQV-UHFFFAOYSA-N	CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
P14416	DRD2	OQDPVLVUJFGPGQ-UHFFFAOYSA-N	c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1
P14416	DRD2	NTJOBXMMWNYJFB-UHFFFAOYSA-N	CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
P14416	DRD2	WAOQONBSWFLFPE-VIFPVBQESA-N	CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC
P14416	DRD2	OZVBMTJYIDMWIL-AYFBDAFISA-N	CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
P14416	DRD2	KORNTPPJEAJQIU-KJXAQDMKSA-N	C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
P14416	DRD2	ZEWQUBUPAILYHI-UHFFFAOYSA-N	CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
P14416	DRD2	QOYHHIBFXOOADH-UHFFFAOYSA-N	O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2
P14416	DRD2	LLBLNMUONVVVPG-UHFFFAOYSA-N	OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1
P14416	DRD2	OBWGMKKHCLHVIE-UHFFFAOYSA-N	CN1CCN(C2=Nc3cc(F)ccc3Cc3ccccc32)CC1
P14416	DRD2	JOAHPSVPXZTVEP-YXJHDRRASA-N	CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
P14416	DRD2	DKNWSYNQZKUICI-UHFFFAOYSA-N	NC12CC3CC(CC(C3)C1)C2
P14416	DRD2	BJMSUUATNLDQQZ-DGCLKSJQSA-N	CCCN1CCC[C@@H]2c3cccc(O)c3OC[C@H]21
P14416	DRD2	TTWJBBZEZQICBI-UHFFFAOYSA-N	CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
P14416	DRD2	FGXWKSZFVQUSTL-UHFFFAOYSA-N	O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
P14416	DRD2	RGCVKNLCSQQDEP-UHFFFAOYSA-N	OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
P14416	DRD2	MTKHCEFATKQYMK-UHFFFAOYSA-N	CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1
P14416	DRD2	KFQYTPMOWPVWEJ-UHFFFAOYSA-N	CCCN(CCc1cccs1)C1CCc2c(O)cccc2C1
P14416	DRD2	DKMFBWQBDIGMHM-UHFFFAOYSA-N	CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1
P14416	DRD2	PCIWCYUKRZFCMF-UHFFFAOYSA-N	COc1cccc(C(=O)NC2CC3CCC(C2)N3Cc2ccccc2)c1OC
P14416	DRD2	ZLVMAMIPILWYHQ-INIZCTEOSA-N	CCOC(=O)Oc1ccc(CCNC(=O)[C@H](CCSC)NC(C)=O)cc1OC(=O)OCC
P14416	DRD2	DBCKRBGYGMVSTI-UHFFFAOYSA-N	O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3ccccc3)c2s1
P14416	DRD2	AIBHLZVVPXCTKY-SRCQZFHVSA-N	CN1C[C@H](Cn2cncn2)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
P14416	DRD2	OZUQRMYHPWAQQC-QGPMSJSTSA-N	CN1C[C@H](CSc2ccccn2)C[C@@H]2Cc3c(O)cccc3C[C@H]21
P14416	DRD2	VSWBSWWIRNCQIJ-HUUCEWRRSA-N	CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1
P14416	DRD2	WZJSIHGOLMMBAL-MRXNPFEDSA-N	CCCN1CCc2cccc3c2[C@H]1Cc1cccc(O)c1-3
P14416	DRD2	XJGVXQDUIWGIRW-UHFFFAOYSA-N	CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
P14416	DRD2	RFTZQSZLGIQWEX-UHFFFAOYSA-N	CN1c2ccc(Cl)cc2N=C(N2CCNCC2)c2ccccc21
P14416	DRD2	UXRWQKITDPCICD-QKYXUNIQSA-N	CCC(C)(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]c(C)c(c34)C[C@H]2N(C)C1
P14416	DRD2	CEUORZQYGODEFX-UHFFFAOYSA-N	O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
P14416	DRD2	AWHNHDGHHNGACT-UHFFFAOYSA-N	CN1CCN(C2=Nc3cc(Cl)ccc3Oc3ccccc32)CC1
P14416	DRD2	PFSDKYXWJQPNMW-UHFFFAOYSA-N	Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1C2
P14416	DRD2	JNNOSTQEZICQQP-UHFFFAOYSA-N	Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2
P14416	DRD2	WTDRDQBEARUVNC-LURJTMIESA-N	N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
P14416	DRD2	AEQDJSLRWYMAQI-UHFFFAOYSA-N	COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3CN1CC2
P14416	DRD2	BGRJTUBHPOOWDU-UHFFFAOYSA-N	CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
P14416	DRD2	KVWDHTXUZHCGIO-UHFFFAOYSA-N	Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
P14416	DRD2	XBBDACCLCFWBSI-ZETCQYMHSA-N	COC(=O)[C@@H](N)Cc1ccc(O)c(O)c1
P14416	DRD2	XCGSFFUVFURLIX-VFGNJEKYSA-N	CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
