uniprot	gene	inchikey	smiles
P14867	GABRA1	GUOQUXNJZHGPQF-UHFFFAOYSA-N	Cc1nnc2ccc(-c3cccc(C(F)(F)F)c3)nn12
P14867	GABRA1	VREFGVBLTWBCJP-UHFFFAOYSA-N	Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
P14867	GABRA1	ZXRVKCBLGJOCEE-UHFFFAOYSA-N	O=c1[nH]oc2c1CCNC2
P14867	GABRA1	ZJQHPWUVQPJPQT-UHFFFAOYSA-N	NCc1cc(O)no1
P14867	GABRA1	AAOVKJBEBIDNHE-UHFFFAOYSA-N	CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
P14867	GABRA1	OFBIFZUFASYYRE-UHFFFAOYSA-N	CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
P14867	GABRA1	LWUDDYHYYNNIQI-ZDUSSCGKSA-N	CC(C)(C)OC(=O)c1ncn2c1[C@@H]1CCCN1C(=O)c1c(Br)cccc1-2
P14867	GABRA1	CFSOJZTUTOQNIA-UHFFFAOYSA-N	CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(N=[N+]=[N-])ccc1-2
P14867	GABRA1	GADIKQPUNWAMEB-UHFFFAOYSA-N	CCc1c(C(=O)OC)ncc2[nH]c3cc(OC)c(OC)cc3c12
P14867	GABRA1	QORLMYYHZLDYOR-UHFFFAOYSA-N	CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Cl)ccc1-2
P14867	GABRA1	YMIKAQYPFQWUEM-UHFFFAOYSA-N	CSc1sc(-c2cc[nH]n2)c2c1C(=O)CC(C)(C)C2
P14867	GABRA1	PPTYJKAXVCCBDU-UHFFFAOYSA-N	CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
P14867	GABRA1	RLFKILXOLJVUNF-UHFFFAOYSA-N	COCc1c(C(=O)OC(C)C)ncc2[nH]c3ccc(OCc4ccccc4)cc3c12
P14867	GABRA1	ZAFYATHCZYHLPB-UHFFFAOYSA-N	Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
P14867	GABRA1	ALBKMJDFBZVHAK-UHFFFAOYSA-N	CCOC(=O)c1ncc2[nH]c3ccc(OCc4ccccc4)cc3c2c1COC
P14867	GABRA1	KOVRZNUMIKACTB-UHFFFAOYSA-N	CCOC(=O)c1cc2c(cn1)[nH]c1ccccc12
P14867	GABRA1	ACVGNKYJVGNLIL-UHFFFAOYSA-N	COc1ccc(-c2ccc(=N)n(CCCC(=O)O)n2)cc1
P14867	GABRA1	GBBSUAFBMRNDJC-UHFFFAOYSA-N	CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1
P14867	GABRA1	DGBIGWXXNGSACT-UHFFFAOYSA-N	O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
P14867	GABRA1	WRHJCJHWJSQAHY-UHFFFAOYSA-N	O=c1c2c[nH]c3ccccc3c-2nn1-c1ccccc1
P14867	GABRA1	QMCOPDWHWYSJSA-UHFFFAOYSA-N	CNC(=O)c1cc2c(cn1)[nH]c1ccccc12
P14867	GABRA1	AURFZBICLPNKBZ-YZRLXODZSA-N	CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
P14867	GABRA1	GXFWOMYQHNODFA-UHFFFAOYSA-N	c1ccc2c(c1)Cc1ccccc1-n1c-2nnc1N1CCNCC1
P14867	GABRA1	YGXIELIREXEJQN-UHFFFAOYSA-N	O=C1N=C(N2CCCCC2)CN1c1ccc(Cl)cc1
P14867	GABRA1	CWRVKFFCRWGWCS-UHFFFAOYSA-N	C1CCc2nnnn2CC1
P14867	GABRA1	ALGFQPMFHIDLFQ-UHFFFAOYSA-N	Cc1ccc2oc(-c3cc(Br)ccc3O)cc(=O)c2c1
P14867	GABRA1	NYQXVKFKGJZIOC-UHFFFAOYSA-N	Oc1nc2ccc(Cl)cc2c2nc(-c3ccccc3F)nn12
P14867	GABRA1	CFMZSMGAMPBRBE-UHFFFAOYSA-N	O=C1c2ccccc2C(=O)N1O
