uniprot	gene	inchikey	smiles
P17252	PRKCA	VDDALHSBRYGZDW-UHFFFAOYSA-N	Cn1cc(C2=C(c3nc(N4CCNC5(CC5)C4)nc4ccccc34)C(=O)NC2=O)c2ccccc21
P17252	PRKCA	JQGNXMMDMUEHDB-UHFFFAOYSA-N	Cc1nn2ccc(CN(C)C)cc2c1C1=C(c2c[nH]c3c(C)cccc23)C(=O)NC1=O
P17252	PRKCA	OAVGBZOFDPFGPJ-UHFFFAOYSA-N	CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1
P17252	PRKCA	LUZOFMGZMUZSSK-LRDDRELGSA-N	CC(C)[C@H]1C(=O)N[C@H](CO)Cc2c[nH]c3cccc(c23)N1C
P17252	PRKCA	ISHUULBGXOVLLF-UHFFFAOYSA-N	Nc1ncc(-c2ncccc2OC(F)(F)F)nc1C(=O)Nc1ncccc1N1CCC(N)CC1
P17252	PRKCA	PHEDXBVPIONUQT-RGYGYFBISA-N	CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(C)=O
P17252	PRKCA	CGSGRJNIABXQJQ-CAAOHEDASA-N	C=C(C)[C@@]12OC3(/C=C/C=C/CCCCC)O[C@@H]1[C@@H]1[C@@H]4O[C@]4(CO)[C@@H](O)[C@]4(O)C(=O)C(C)=C[C@H]4[C@@]1(O3)[C@H](C)[C@H]2OC(=O)c1ccccc1
P17252	PRKCA	CUWJDZXEDIUEEW-HLFHJSLSSA-N	CC1=CC[C@H](C)C(C)(C)[C@@H]1/C=C/C(C)=C/CC[C@@]1(CO)[C@H](CCCO)/C(=C(/C)C=O)CC[C@]1(C)O
P17252	PRKCA	UQHKJRCFSLMWIA-UHFFFAOYSA-N	Cn1cc(C2=C(c3cn(CCCN)c4ccccc34)C(=O)NC2=O)c2ccccc21
P17252	PRKCA	CLGRAWDGLMENOD-UHFFFAOYSA-N	CC(C)(O)C(=O)N1CCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2)CC1
