uniprot	gene	inchikey	smiles
P18089	ADRA2B	YEUGJDPRUKBRDK-UHFFFAOYSA-N	Cc1cc(C)nc(NS(=O)(=O)c2ccc(NCc3ccccc3C)cc2)n1
P18089	ADRA2B	CUHVIMMYOGQXCV-UHFFFAOYSA-N	Cc1cccc(C(C)c2cnc[nH]2)c1C
P18089	ADRA2B	UXCGGTCHSALBPY-UGSOOPFHSA-N	C[C@H]1[C@H]2c3ccccc3Cc3ccccc3N2CN1C
P18089	ADRA2B	FACMWMBWGSPRKO-UHFFFAOYSA-N	CN1CCN(C2=Nc3ccccc3Sc3nccn32)CC1
P18089	ADRA2B	YBZBAKCPGGZDTH-UHFFFAOYSA-N	c1ccc(CC(NC2=NCCS2)c2ccccc2)cc1
P18089	ADRA2B	HUCJFAOMUPXHDK-UHFFFAOYSA-N	Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1
P18089	ADRA2B	UCTWMZQNUQWSLP-VIFPVBQESA-N	CNC[C@H](O)c1ccc(O)c(O)c1
P18089	ADRA2B	QXWYKJLNLSIPIN-JGVFFNPUSA-N	N[C@H](C(=O)O)[C@H](O)c1ccc(O)c(O)c1
P18089	ADRA2B	SFLSHLFXELFNJZ-QMMMGPOBSA-N	NC[C@H](O)c1ccc(O)c(O)c1
P18089	ADRA2B	XCGSFFUVFURLIX-VFGNJEKYSA-N	CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
