uniprot	gene	inchikey	smiles
P18507	GABRG2	ACVGNKYJVGNLIL-UHFFFAOYSA-N	COc1ccc(-c2ccc(=N)n(CCCC(=O)O)n2)cc1
P18507	GABRG2	QMCOPDWHWYSJSA-UHFFFAOYSA-N	CNC(=O)c1cc2c(cn1)[nH]c1ccccc12
P18507	GABRG2	ZAFYATHCZYHLPB-UHFFFAOYSA-N	Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
P18507	GABRG2	ALBKMJDFBZVHAK-UHFFFAOYSA-N	CCOC(=O)c1ncc2[nH]c3ccc(OCc4ccccc4)cc3c2c1COC
P18507	GABRG2	KOVRZNUMIKACTB-UHFFFAOYSA-N	CCOC(=O)c1cc2c(cn1)[nH]c1ccccc12
P18507	GABRG2	PPTYJKAXVCCBDU-UHFFFAOYSA-N	CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
P18507	GABRG2	RLFKILXOLJVUNF-UHFFFAOYSA-N	COCc1c(C(=O)OC(C)C)ncc2[nH]c3ccc(OCc4ccccc4)cc3c12
P18507	GABRG2	QORLMYYHZLDYOR-UHFFFAOYSA-N	CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Cl)ccc1-2
P18507	GABRG2	YMIKAQYPFQWUEM-UHFFFAOYSA-N	CSc1sc(-c2cc[nH]n2)c2c1C(=O)CC(C)(C)C2
P18507	GABRG2	WRHJCJHWJSQAHY-UHFFFAOYSA-N	O=c1c2c[nH]c3ccccc3c-2nn1-c1ccccc1
P18507	GABRG2	LWUDDYHYYNNIQI-ZDUSSCGKSA-N	CC(C)(C)OC(=O)c1ncn2c1[C@@H]1CCCN1C(=O)c1c(Br)cccc1-2
P18507	GABRG2	CFSOJZTUTOQNIA-UHFFFAOYSA-N	CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(N=[N+]=[N-])ccc1-2
P18507	GABRG2	GADIKQPUNWAMEB-UHFFFAOYSA-N	CCc1c(C(=O)OC)ncc2[nH]c3cc(OC)c(OC)cc3c12
P18507	GABRG2	DGBIGWXXNGSACT-UHFFFAOYSA-N	O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
P18507	GABRG2	YGXIELIREXEJQN-UHFFFAOYSA-N	O=C1N=C(N2CCCCC2)CN1c1ccc(Cl)cc1
P18507	GABRG2	NYQXVKFKGJZIOC-UHFFFAOYSA-N	Oc1nc2ccc(Cl)cc2c2nc(-c3ccccc3F)nn12
P18507	GABRG2	AAOVKJBEBIDNHE-UHFFFAOYSA-N	CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
P18507	GABRG2	OFBIFZUFASYYRE-UHFFFAOYSA-N	CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
