uniprot	gene	inchikey	smiles
P19099	CYP11B2	LEJPKWXGQFBXRX-VZUCSPMQSA-N	Fc1ccc2c(c1)CC/C2=C\c1cncnc1
P19099	CYP11B2	GMQJALWDENUKHB-UHFFFAOYSA-N	CCS(=O)(=O)NCc1cncc(-c2cc3ccc(Cl)cc3n2C)c1
P19099	CYP11B2	UNQXIRZDOXDTMH-UHFFFAOYSA-N	CCS(=O)(=O)NCc1cncc(-c2c(C#N)c3ccc(Cl)cc3n2C)c1
P19099	CYP11B2	KCHHHGRFMSWSFF-SFHVURJKSA-N	CCS(=O)(=O)N[C@H](c1cncc(-c2ccc(C#N)c(Cl)c2)c1)C1CC1
P19099	CYP11B2	CLPFFLWZZBQMAO-CQSZACIVSA-N	N#Cc1ccc([C@H]2CCCc3cncn32)cc1
P19099	CYP11B2	HXADEWQUFZATNZ-UHFFFAOYSA-N	C=Cc1cc(C2CCc3cncn32)ccc1C#N
P19099	CYP11B2	KCHHHGRFMSWSFF-GOSISDBHSA-N	CCS(=O)(=O)N[C@@H](c1cncc(-c2ccc(C#N)c(Cl)c2)c1)C1CC1
P19099	CYP11B2	USUZGMWDZDXMDG-CYBMUJFWSA-N	N#Cc1ccc([C@H]2CCc3cncn32)c(F)c1
P19099	CYP11B2	ZZXIRFDFHJBYCS-UHFFFAOYSA-N	CC1(C)CCn2cncc2C1c1ccc(C#N)cc1
P19099	CYP11B2	SUVDDDNQVVLBRP-UHFFFAOYSA-N	N#CC1CCC(C2CCCc3cncn32)CC1
