uniprot	gene	inchikey	smiles
P21554	CNR1	GECBBEABIDMGGL-RTBURBONSA-N	CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(=O)C[C@@H]21
P21554	CNR1	PMBUDILHPXTDNY-UHFFFAOYSA-N	CCOC(=O)c1c(C)cc2nc(COC(=O)NCCO)n(-c3ccccc3S(=O)(=O)NC)c(=O)c2c1C
P21554	CNR1	FJMQJSUOOGOWBD-UHFFFAOYSA-N	CC(F)(F)CN1CCOc2c(nn(-c3ccccc3Cl)c2-c2ccc(Cl)cc2)C1=O
P21554	CNR1	QLYKJCMUNUWAGO-GAJHUEQPSA-N	C[C@H](NC(=O)C(C)(C)Oc1ccc(C(F)(F)F)cn1)[C@@H](Cc1ccc(Cl)cc1)c1cccc(C#N)c1
P21554	CNR1	VBGLYOIFKLUMQG-UHFFFAOYSA-N	CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2
P21554	CNR1	RSUMDJRTAFBISX-UHFFFAOYSA-N	CCCCCOc1ccc(C(=O)c2cccc3ccccc23)c2ccccc12
P21554	CNR1	JZCPYUJPEARBJL-UHFFFAOYSA-N	Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
P21554	CNR1	LGEQQWMQCRIYKG-DOFZRALJSA-N	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO
P21554	CNR1	GLGAUBPACOBAMV-DOFZRALJSA-N	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NC1CC1
P21554	CNR1	AJFFBPZYXRNAIC-UHFFFAOYSA-N	Cc1c(C(=O)NN2CCOCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(I)cc1
P21554	CNR1	SQKRUBZPTNJQEM-FQPARAGTSA-N	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)N[C@H](C)CO
P21554	CNR1	OONFJWGBMBMTSV-UHFFFAOYSA-N	Clc1ccc(C(c2ccc(Cl)cc2)c2ccc3nncc(N4CCC(Nc5ccccc5)CC4)c3c2)cc1
P21554	CNR1	VKBZJLKFOXHKSB-UHFFFAOYSA-N	O=C(NN1CCCCCC1)c1nn(-c2ccc(Cl)cc2Cl)c2c1CCn1c(Cl)ccc1-2
