uniprot	gene	inchikey	smiles
P23141	CES1	WURBFLDFSFBTLW-UHFFFAOYSA-N	O=C(C(=O)c1ccccc1)c1ccccc1
P23141	CES1	YNANGXWUZWWFKX-UHFFFAOYSA-N	COc1ccc(C(=O)C(=O)c2ccc(OC)cc2)cc1
P23141	CES1	GPDKREBNFFEDHW-UHFFFAOYSA-N	O=C(C(=O)c1ccc([N+](=O)[O-])cc1)c1ccccc1
P23141	CES1	DCKZGFRFXGBGOQ-UHFFFAOYSA-N	O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1)c1ccc(Cl)cc1
P23141	CES1	AAOYLOCWJSLLJU-UHFFFAOYSA-N	O=C(C(=O)c1cc(Br)ccc1O)c1cc(Br)ccc1O
P23141	CES1	NTINAJCDYRYMML-UHFFFAOYSA-N	COc1ccc(C(=O)C(=O)c2ccccc2)cc1
P23141	CES1	BCWCEHMHCDCJAD-UHFFFAOYSA-N	Cc1ccc(C(=O)C(=O)c2ccc(C)cc2)cc1
P23141	CES1	XMAWUPHYEABFDR-UHFFFAOYSA-N	O=C(C(=O)c1ccc(Cl)cc1)c1ccc(Cl)cc1
P23141	CES1	XNUCDMDHVWJDIP-UHFFFAOYSA-N	O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)c2ccccc12)c1ccc(Cl)cc1
P23141	CES1	VOSNNSVWVJFJCR-UHFFFAOYSA-N	O=C(C(=O)c1ccccc1Cl)c1ccccc1Cl
P23141	CES1	ILOIOIGZFHGSMS-UHFFFAOYSA-N	O=C(CCCCCCc1ccccc1)c1ncc(-c2ccccn2)o1
P23141	CES1	RYMZZMVNJRMUDD-HGQWONQESA-N	CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
