uniprot	gene	inchikey	smiles
P23219	PTGS1	SYTBZMRGLBWNTM-SNVBAGLBSA-N	C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1
P23219	PTGS1	PQUGCKBLVKJMNT-UHFFFAOYSA-N	COc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1
P23219	PTGS1	RZVAJINKPMORJF-UHFFFAOYSA-N	CC(=O)Nc1ccc(O)cc1
P23219	PTGS1	HEFNNWSXXWATRW-UHFFFAOYSA-N	CC(C)Cc1ccc(C(C)C(=O)O)cc1
P23219	PTGS1	CMWTZPSULFXXJA-VIFPVBQESA-N	COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
P23219	PTGS1	ZHSMSTRJUILSME-XTCLZLMSSA-N	Cc1nccn1CC1CCc2c(c3ccccc3n2C)/C1=N/OC(=O)c1ccc(Br)s1
P23219	PTGS1	BSYNRYMUTXBXSQ-UHFFFAOYSA-N	CC(=O)Oc1ccccc1C(=O)O
P23219	PTGS1	LMLDPXXCYIXDSG-MDZDMXLPSA-N	CC(C)(C)c1cc(/C=C/c2cccnc2)cc(C(C)(C)C)c1O
P23219	PTGS1	HEFNNWSXXWATRW-JTQLQIEISA-N	CC(C)Cc1ccc([C@H](C)C(=O)O)cc1
P23219	PTGS1	WVYADZUPLLSGPU-UHFFFAOYSA-N	O=C(Oc1ccccc1C(=O)O)c1ccccc1O
P23219	PTGS1	HAQOEWGSBVQDHB-UHFFFAOYSA-N	CC(C)(C)c1cc(-c2csc(CN)n2)cc(C(C)(C)C)c1O
P23219	PTGS1	MRBBFOWSPXHYQT-FCXRPNKRSA-N	COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)on2)ccc1O
P23219	PTGS1	CGIGDMFJXJATDK-UHFFFAOYSA-N	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
P23219	PTGS1	CMCWWLVWPDLCRM-UHFFFAOYSA-N	O=C1CCN(c2ccccc2)N1
P23219	PTGS1	KSEJZTWORQXILM-UHFFFAOYSA-N	C[S+]([O-])c1ccc(-c2nc3n(c2-c2ccncc2)CCC3)cc1
P23219	PTGS1	FIKVYIRIUOFLLR-UHFFFAOYSA-N	CC(CC(=O)c1ccc(-c2ccc(F)cc2F)cc1)C(=O)O
P23219	PTGS1	DCOPUUMXTXDBNB-UHFFFAOYSA-N	O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
