uniprot	gene	inchikey	smiles
P23975	SLC6A2	UNAANXDKBXWMLN-UHFFFAOYSA-N	CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1
P23975	SLC6A2	XXPANQJNYNUNES-UHFFFAOYSA-N	CN1Cc2c(N)cccc2C(c2ccccc2)C1
P23975	SLC6A2	VCRGLZYPNNAVRP-JTQLQIEISA-N	CC1(C)CCC(NC(=O)[C@@H](N)CCC(=O)O)CC1
P23975	SLC6A2	FDXQKWSTUZCCTM-UHFFFAOYSA-N	CNCC(O)CC12CCC(c3ccccc31)c1ccccc12
P23975	SLC6A2	VHGCDTVCOLNTBX-QGZVFWFLSA-N	CNCC[C@@H](Oc1ccccc1C)c1ccccc1
P23975	SLC6A2	HCYAFALTSJYZDH-UHFFFAOYSA-N	CNCCCN1c2ccccc2CCc2ccccc21
P23975	SLC6A2	GJJFMKBJSRMPLA-HIFRSBDPSA-N	CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1CN
P23975	SLC6A2	DTNUPBSOODGRKW-UHFFFAOYSA-N	CCCC(C(=O)c1ccc2ccccc2c1)N1CCCC1
P23975	SLC6A2	OFYVIGTWSQPCLF-UHFFFAOYSA-N	Cc1ccc(C23CNCC2C3)cc1
P23975	SLC6A2	PNVNVHUZROJLTJ-UHFFFAOYSA-N	COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
P23975	SLC6A2	ONNOFKFOZAJDHT-UHFFFAOYSA-N	O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21
P23975	SLC6A2	BRPOADLGOFPKKJ-UHFFFAOYSA-N	CCn1c2c(c3ccccc31)CCSC2(C)CCN(C)C
P23975	SLC6A2	GPTFURBXHJWNHR-UHFFFAOYSA-N	CN1CCc2cc3c(cc2C(=O)Cc2ccc4c(c2C1)OCO4)OCO3
P23975	SLC6A2	QWGDMFLQWFTERH-UHFFFAOYSA-N	Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
P23975	SLC6A2	YGCWTLJXPQFPEQ-UHFFFAOYSA-N	CN(C)CC1=C(c2cccnc2)c2ccccc2C1
P23975	SLC6A2	ZEUITGRIYCTCEM-KRWDZBQOSA-N	CNCC[C@H](Oc1cccc2ccccc12)c1cccs1
P23975	SLC6A2	GIJXKZJWITVLHI-YOFSQIOKSA-N	CN1[C@H]2CC[C@@H]1CC(OC(c1ccccc1)c1ccccc1)C2
P23975	SLC6A2	BCGWQEUPMDMJNV-UHFFFAOYSA-N	CN(C)CCCN1c2ccccc2CCc2ccccc21
P23975	SLC6A2	XCGSFFUVFURLIX-VFGNJEKYSA-N	CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
