uniprot	gene	inchikey	smiles
P24530	EDNRB	LPAHKJMGDSJDRG-RJTBUBHNSA-N	CCCC[C@@H](NC(=O)[C@@H](Cc1cn(C(=O)OC)c2ccccc12)NC(=O)[C@H](CC(C)(C)C)NC(=O)N1C(C)CCCC1C)C(=O)O
P24530	EDNRB	UZDORQWMYRRLQV-JHOUSYSJSA-N	Cc1cc(C)cc(C(=O)N(C)[C@H](Cc2ccc(-c3ccccc3)cc2)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)O)c1
P24530	EDNRB	DXPHNGAMYPPTBJ-TZMIJSMNSA-N	CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)C(C)C)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC
P24530	EDNRB	UZDORQWMYRRLQV-UHFFFAOYSA-N	Cc1cc(C)cc(C(=O)N(C)C(Cc2ccc(-c3ccccc3)cc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)O)c1
P24530	EDNRB	UVTGPXVPTNTUDR-URLMMPGGSA-N	Cc1cc(C)cc(C(=O)N(C)[C@H](Cc2ccc(-c3ccno3)cc2)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)O)c1
P24530	EDNRB	JFNANCYIHVAEQV-RRPNLBNLSA-N	Cc1cc(C)cc(C(=O)N(C)[C@H](Cc2ccccc2)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)O)c1
P24530	EDNRB	GJPICJJJRGTNOD-UHFFFAOYSA-N	COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO
P24530	EDNRB	IFLIQLQVUMXNFU-IAPPQJPRSA-N	CCCCS(=O)(=O)NC(=O)[C@@H](NC(=O)[C@@H](Cc1ccc(-c2ccno2)cc1)N(C)C(=O)c1cc(C)cc(C)c1)C(C)C
P24530	EDNRB	JPPYWKVKLSBQJM-UHFFFAOYSA-N	CCCc1cc(C(=O)O)ccc1OC(C(=O)NS(=O)(=O)c1ccc(C(C)C)cc1)c1ccc2c(c1)OCO2
P24530	EDNRB	ZNXOKLWCOWOECF-UHFFFAOYSA-N	COc1cccc(Oc2c(NS(=O)(=O)c3ccc(C(C)(C)C)cc3)ncnc2OCCO)c1
