uniprot	gene	inchikey	smiles
P24723	PRKCH	QQKKPWJFHBFCTH-UHFFFAOYSA-N	Cn1cc(C2=C(c3c4n(c5ccccc35)CCC(CN)C4)C(=O)NC2=O)c2ccccc21
P24723	PRKCH	JPEXLYQOPMWVGZ-UHFFFAOYSA-N	CC(C)N1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1
P24723	PRKCH	FRWXXAYVHFLWCV-UHFFFAOYSA-N	Cn1cc(C2=C(c3c4n(c5ccccc35)CCC(CO)C4)C(=O)NC2=O)c2ccccc21
P24723	PRKCH	FZXZDHDSQPECTD-UHFFFAOYSA-N	Cn1cc(C2=C(c3cn(C4CCN(C(=O)OC(C)(C)C)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21
P24723	PRKCH	YNQONPYZDIKVFM-UHFFFAOYSA-N	O=C1NC(=O)C(c2cn(CCCO)c3ccccc23)=C1c1c[nH]c2ccccc12
P24723	PRKCH	FXGHOAZJQNLNFD-UHFFFAOYSA-N	CN(C)CC1CCn2c(c(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c3ccccc32)C1
P24723	PRKCH	AXRCEOKUDYDWLF-UHFFFAOYSA-N	Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21
P24723	PRKCH	KOZFSFOOLUUIGY-SOLYNIJKSA-N	COC(=O)[C@@]1(O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
P24723	PRKCH	QMGUOJYZJKLOLH-UHFFFAOYSA-N	CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21
P24723	PRKCH	SEAKDKTVXBDRHV-UHFFFAOYSA-N	Cn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21
P24723	PRKCH	XYUFCXJZFZPEJD-XMSQKQJNSA-N	O=C(N[C@@H]1CNCCC[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1
P24723	PRKCH	HKSZLNNOFSGOKW-FYTWVXJKSA-N	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
