uniprot	gene	inchikey	smiles
P24941	CDK2	KOODMIUJLQTAQY-UHFFFAOYSA-N	Cc1ccc(Nc2cc(-c3cccc(N)c3)ncn2)cc1NS(=O)(=O)c1cn(C)cn1
P24941	CDK2	YUTLWCQIOXIPAP-UHFFFAOYSA-N	COc1ccccc1-c1cc(Nc2ccc(C)c(NS(C)(=O)=O)c2)ncn1
P24941	CDK2	CXQRKICWSCAUGW-UHFFFAOYSA-N	Cc1ccc(Nc2cc(-c3ccccc3)ncn2)cc1NS(C)(=O)=O
P24941	CDK2	MTKCOKFSICWGPP-UHFFFAOYSA-N	Nc1cccc(C(=O)c2sc(Nc3ccccc3)nc2N)c1
P24941	CDK2	HQHSJJZIICGOIX-UHFFFAOYSA-N	Nc1nccc(-c2c[nH]c3ncccc23)n1
P24941	CDK2	BTIHMVBBUGXLCJ-OAHLLOKOSA-N	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
P24941	CDK2	QLNAEPZXTGNWCX-UHFFFAOYSA-N	CNc1nc(C)c(-c2ccnc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3)n2)s1
P24941	CDK2	CPJICALSLDLRJP-UHFFFAOYSA-N	Cc1nc(C)c(-c2ccnc(Nc3cccc(Cl)c3)n2)s1
P24941	CDK2	GAKKPKBEHVIOLH-UHFFFAOYSA-N	CNc1nc(C)c(-c2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)s1
P24941	CDK2	BBFVLRHCOLVFKU-UHFFFAOYSA-N	N#Cc1cnc(Nc2ccc(S(N)(=O)=O)cc2)nc1N
P24941	CDK2	WWEQTPOWISSFHS-UHFFFAOYSA-N	O=C(Nc1ccc(N2CCOCC2)cc1)c1n[nH]c2ccccc12
P24941	CDK2	GSQOBTOAOGXIFL-LFIBNONCSA-N	N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCc1ccccc1
P24941	CDK2	RBCOCGJUDYLCLU-UHFFFAOYSA-N	CS(=O)(=O)c1cccc(Nc2nccc(-c3cccc4[nH]ccc34)n2)c1
P24941	CDK2	HHODLRBJFMBODF-UHFFFAOYSA-N	N#Cc1ccccc1Nc1ccnc(Nc2ccc(S(N)(=O)=O)cc2)n1
P24941	CDK2	BXNJHAXVSOCGBA-UHFFFAOYSA-N	COc1ccc2c(c1)[nH]c1c(C)nccc12
P24941	CDK2	VPEOEBSAJZUAHP-UHFFFAOYSA-N	Cc1cnc(Nc2cccc(S(C)(=O)=O)c2)nc1-c1cccc2[nH]ccc12
P24941	CDK2	IRGAIDAWHGYOKD-UHFFFAOYSA-N	COc1cc(F)c(-c2nc3c(NCC4CCNCC4)c(Cl)cnc3[nH]2)cc1OC
P24941	CDK2	KDKUVYLMPJIGKA-UHFFFAOYSA-N	Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F
P24941	CDK2	UTBSBSOBZHXMHI-CABCVRRESA-N	CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@H]3CCCC[C@H]3N)nc21
P24941	CDK2	VKWDUXSHPJACHQ-DHDCSXOGSA-N	CC(C)(CO)CNS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncsc4c32)cc1
P24941	CDK2	IYNDTACKOAXKBJ-UHFFFAOYSA-N	OCCCNc1cc(-c2ccnc(Nc3cccc(Cl)c3)n2)ccn1
P24941	CDK2	HWOAQZBIJPMRLH-UHFFFAOYSA-N	S=c1[nH]n2c(COc3ccc(Cl)cc3)nnc2s1
P24941	CDK2	GTVPOLSIJWJJNY-UHFFFAOYSA-N	Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21
P24941	CDK2	GFXMFSCCEVADLF-UHFFFAOYSA-N	CC(=O)Nc1ncc(SCc2ncc(C(C)(C)C)o2)s1
P24941	CDK2	OUSFTKFNBAZUKL-UHFFFAOYSA-N	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1
P24941	CDK2	DWLMLPCWSGBXMZ-UHFFFAOYSA-N	Cn1cc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2=O)c2ccccc21
P24941	CDK2	SEAKDKTVXBDRHV-UHFFFAOYSA-N	Cn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21
P24941	CDK2	FDWQSLRDIBRKEI-UHFFFAOYSA-N	CC(C)(C)c1cnc(CSc2cnc(NC(=O)Cc3ccc(CNC(CO)CO)cc3)s2)o1
P24941	CDK2	OVPNQJVDAFNBDN-UHFFFAOYSA-N	O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl
