uniprot	gene	inchikey	smiles
P25100	ADRA1A	SONNWYBIRXJNDC-VIFPVBQESA-N	CNC[C@H](O)c1cccc(O)c1
P25100	ADRA1A	IEJXVRYNEISIKR-UHFFFAOYSA-N	Nc1cc(Cl)c(NC2=NCCN2)c(Cl)c1
P25100	ADRA1A	BCGWQEUPMDMJNV-UHFFFAOYSA-N	CN(C)CCCN1c2ccccc2CCc2ccccc21
P25100	ADRA1A	FJZKZLNJNRQYPS-TZMCWYRMSA-N	COc1ccc(I)c2c1C[C@@H]1[C@@H](C2)OCCN1C
P25100	ADRA1A	YNZXWQJZEDLQEG-UHFFFAOYSA-N	COc1cc2c(N)nc(N3CCN(C(=O)OCC(C)(C)O)CC3)nc2c(OC)c1OC
P25100	ADRA1A	YFGHCGITMMYXAQ-UHFFFAOYSA-N	NC(=O)C[S+]([O-])C(c1ccccc1)c1ccccc1
P25100	ADRA1A	WXFIGDLSSYIKKV-UHFFFAOYSA-N	CC(N)C(O)c1cccc(O)c1
P25100	ADRA1A	DRHKJLXJIQTDTD-OAHLLOKOSA-N	CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1
P25100	ADRA1A	WYWIFABBXFUGLM-UHFFFAOYSA-N	Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1
P25100	ADRA1A	UCTWMZQNUQWSLP-VIFPVBQESA-N	CNC[C@H](O)c1ccc(O)c(O)c1
P25100	ADRA1A	SGUAFYQXFOLMHL-UHFFFAOYSA-N	CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(=N)O)c1
P25100	ADRA1A	RUZYUOTYCVRMRZ-UHFFFAOYSA-N	COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
P25100	ADRA1A	PZZOEXPDTYIBPI-UHFFFAOYSA-N	O=C1c2ccccc2CCC1CNCCc1ccc(O)cc1
P25100	ADRA1A	VCKUSRYTPJJLNI-UHFFFAOYSA-N	COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC
P25100	ADRA1A	SFLSHLFXELFNJZ-QMMMGPOBSA-N	NC[C@H](O)c1ccc(O)c(O)c1
P25100	ADRA1A	XCGSFFUVFURLIX-VFGNJEKYSA-N	CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
