uniprot	gene	inchikey	smiles
P25100	ADRA1D	AYYCFGDXLUPJAQ-UHFFFAOYSA-N	COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1
P25100	ADRA1D	RUZYUOTYCVRMRZ-UHFFFAOYSA-N	COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
P25100	ADRA1D	PZZOEXPDTYIBPI-UHFFFAOYSA-N	O=C1c2ccccc2CCC1CNCCc1ccc(O)cc1
P25100	ADRA1D	VCKUSRYTPJJLNI-UHFFFAOYSA-N	COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC
P25100	ADRA1D	HRRBJVNMSRJFHQ-UHFFFAOYSA-N	COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1
P25100	ADRA1D	SFLSHLFXELFNJZ-QMMMGPOBSA-N	NC[C@H](O)c1ccc(O)c(O)c1
P25100	ADRA1D	YAORIDZYZDUZCM-UHFFFAOYSA-N	c1ccc(C2CC2)c(OCC2=NCCN2)c1
P25100	ADRA1D	XCGSFFUVFURLIX-VFGNJEKYSA-N	CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
P25100	ADRA1D	CVBJUEIAUOTXLV-UHFFFAOYSA-N	CS(=O)(=O)c1ccc(Cl)cc1Cn1cc(Cl)cc(C(N)=O)c1=N
P25100	ADRA1D	QXWYKJLNLSIPIN-JGVFFNPUSA-N	N[C@H](C(=O)O)[C@H](O)c1ccc(O)c(O)c1
