uniprot	gene	inchikey	smiles
P25101	EDNRA	YBWLTKFZAOSWSM-UHFFFAOYSA-N	COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C)cn2)nc(-c2ccncc2)nc1OC
P25101	EDNRA	MJRGSRRZKSJHOE-UHFFFAOYSA-N	Cc1noc(NS(=O)(=O)c2cccc3c(N(C)C)cccc23)c1C
P25101	EDNRA	VYCMAAOURFJIHD-PJNXIOHISA-N	CC(C)C[C@@H]1NC(=O)[C@@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC1=O
P25101	EDNRA	GJPICJJJRGTNOD-UHFFFAOYSA-N	COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO
P25101	EDNRA	IFLIQLQVUMXNFU-IAPPQJPRSA-N	CCCCS(=O)(=O)NC(=O)[C@@H](NC(=O)[C@@H](Cc1ccc(-c2ccno2)cc1)N(C)C(=O)c1cc(C)cc(C)c1)C(C)C
P25101	EDNRA	JPPYWKVKLSBQJM-UHFFFAOYSA-N	CCCc1cc(C(=O)O)ccc1OC(C(=O)NS(=O)(=O)c1ccc(C(C)C)cc1)c1ccc2c(c1)OCO2
P25101	EDNRA	ZNXOKLWCOWOECF-UHFFFAOYSA-N	COc1cccc(Oc2c(NS(=O)(=O)c3ccc(C(C)(C)C)cc3)ncnc2OCCO)c1
P25101	EDNRA	NHUHCSRWZMLRLA-UHFFFAOYSA-N	Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
P25101	EDNRA	IJOSJBQROXKMOT-IZLXSDGUSA-N	CCOc1ccc2c(c1)[C@H](c1ccc(OC)cc1OCC(=O)O)N(CC(=O)O)[C@@H]2c1ccc2c(c1)OCO2
P25101	EDNRA	QJBRZZUZDREZIP-UHFFFAOYSA-N	CC(=O)NC(CSC12CCC3(O)CC(C)=CC(=O)C3(O)C1(O)C(=O)c1cccc(O)c1C2=O)C(=O)O
