uniprot	gene	inchikey	smiles
P25103	TACR1	LKJVGMXETAHJKU-AVRDEDQJSA-N	CC(=O)N[C@@H]1CN2C(=O)N(c3cc(Cl)cc(Cl)c3)C(=O)[C@]2(Cc2ccc(C#N)cc2)C1
P25103	TACR1	WPHIEFHDFQKSGI-UUOWRZLLSA-N	N#Cc1ccc(C[C@@]23C[C@H](NC(=O)CCC(N)=O)CN2C(=O)N(c2cc(Cl)cc(Cl)c2)C3=O)cc1
P25103	TACR1	RPDFDSQFBCJTDY-GAQXSTBRSA-N	CC(C)Oc1cccc(CC(=O)N2CCC[C@](CC[N+]34CCC(c5ccccc5)(CC3)CC4)(c3ccc(Cl)c(Cl)c3)C2)c1
P25103	TACR1	TWAWPCMBTNHLQB-CONSDPRKSA-N	CN(Cc1ccccc1)C(=O)[C@H](Cc1ccc2ccccc2c1)N(C)C(=O)[C@@H]1CCCN1c1nc(=O)c2ccccc2[nH]1
P25103	TACR1	KKLMRJSMWOEEFA-OAQYLSRUSA-N	CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)N(CCC(=O)N[C@@H]1CCCCNC1=O)Cc1ccc(Cl)c(Cl)c1
P25103	TACR1	YZRLVRHBPHBXFV-KYJUHHDHSA-N	CN(Cc1ccccc1)C(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@@H]1CCCN1c1nc(=O)c2ccccc2[nH]1
P25103	TACR1	BYYQYXVAWXAYQC-IBGZPJMESA-N	CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1
P25103	TACR1	MWKJCJFYJWIFLL-UHFFFAOYSA-N	NC(=O)CNC(COCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(c1ccccc1)c1ccccc1
P25103	TACR1	AGAVJQRYUXAJGE-UHFFFAOYSA-N	CN1CCC(COCc2cc(-c3ccc(C#N)cc3)cc(C(F)(F)F)c2)(c2ccccc2)CC1
P25103	TACR1	CVXJAPZTZWLRBP-MUUNZHRXSA-N	COc1ccccc1CN(C[C@@H](Cc1c[nH]c2ccccc12)NC(=O)CN1CCC(N2CCCCC2)CC1)C(C)=O
P25103	TACR1	XILNRORTJVDYRH-HKUYNNGSSA-N	COc1ccc(-n2nnnc2C(F)(F)F)cc1CN[C@H]1CCCN[C@H]1c1ccccc1
P25103	TACR1	WZMVQZJKOVPVGZ-UHFFFAOYSA-N	COc1cc(C(=O)N2CCC(CCN3CCC(C(N)=O)(c4ccccc4)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC
P25103	TACR1	ATMHFQDWDFHUDF-TXLWKQMCSA-N	CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H](/C=C/C(=O)N[C@@H]1CCCCNC1=O)Cc1ccc(Cl)cc1
P25103	TACR1	BHCJHYIMNHXLOM-WVDRJWPYSA-N	CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H](/C=C/C(=O)N[C@@H]1CCCCNC1=O)Cc1ccc(Cl)c(Cl)c1
