uniprot	gene	inchikey	smiles
P25774	CTSS	SXIIFTDRVOJBPT-MOPGFXCFSA-N	CC(C)(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](C#N)COCc1ccccc1
P25774	CTSS	YUMYYTORLYHUFW-MSKIIMLESA-N	CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1
P25774	CTSS	NVAHQQYCEWEDKM-UHFFFAOYSA-N	Cn1c(=O)n(C2CCN(CCCn3nc(-c4ccc(C(F)(F)F)cc4)c4c3CCN(S(C)(=O)=O)C4)CC2)c2cc(Cl)ccc21
P25774	CTSS	YQABUUDNACVDEO-UHFFFAOYSA-N	CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCCO
P25774	CTSS	RKKQUNNKTWJTLY-UHFFFAOYSA-N	CC(=O)N1CCN(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCCCC3)c(F)c2)CC1
P25774	CTSS	FLKSZJUIPRZEET-UHFFFAOYSA-N	CC(C)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OC1CCN(C)CC1
P25774	CTSS	HSZIWISHLSFWJO-PRABLTMGSA-N	O=C(N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1
P25774	CTSS	YEMXHRPEHMDPDD-JXFKEZNVSA-N	C[C@H](NC(=O)O[C@@H](CC1CCCCC1)C(=O)N1CCOCC1)C(=O)c1nc2ccccc2o1
P25774	CTSS	QWBVVOBWTNGNOF-UHFFFAOYSA-N	CC(C)(C)Cn1c(CN2C(=O)CC3(CCN(Cc4ccccc4)CC3)C2=O)cc2cnc(C#N)nc21
P25774	CTSS	QXQAFIAKTXDYFI-KRWDZBQOSA-N	N#CCNC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1
P25774	CTSS	SIIJWJNEODXHNY-QWHCGFSZSA-N	Cc1cccc(O[C@H]2CCN3C[C@H]2OC3=O)c1C
