uniprot	gene	inchikey	smiles
P27338	MAOB	JZXRLKWWVNUZRB-UHFFFAOYSA-N	NCCNC(=O)c1ccc(Cl)cn1
P27338	MAOB	RUOKEQAAGRXIBM-GFCCVEGCSA-N	C#CCN[C@@H]1CCc2ccccc21
P27338	MAOB	MEZLKOACVSPNER-GFCCVEGCSA-N	C#CCN(C)[C@H](C)Cc1ccccc1
P27338	MAOB	GKDHWOUMCGRQHR-UHFFFAOYSA-N	CSc1ccc(C(=O)C=Cc2cccc3c2OCO3)cc1
P27338	MAOB	CZBFDKZEZLRXSZ-UHFFFAOYSA-N	Cn1ccc2cc(-c3nc4ccc(F)cc4s3)ccc21
P27338	MAOB	WAPUAZWMCBAXGP-UHFFFAOYSA-N	Cn1nc(-c2ccc(C(=O)N3CCC(O)CC3)s2)cc1C(F)(F)F
P27338	MAOB	WBWFIUAVMCNYPG-BQYQJAHWSA-N	Cn1c(=O)c2c(nc(/C=C/c3cccc(Cl)c3)n2C)n(C)c1=O
P27338	MAOB	MXXWOMGUGJBKIW-YPCIICBESA-N	O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1
P27338	MAOB	AIFRHYZBTHREPW-UHFFFAOYSA-N	c1ccc2c(c1)[nH]c1cnccc12
P27338	MAOB	RTFXNOSCBHDQDX-UHFFFAOYSA-N	COc1ccc(-c2[nH]c3cc(C#N)c(C#N)cc3c2Cl)cc1
P27338	MAOB	FZFOTSIMQZCSAS-UHFFFAOYSA-N	COc1cc2cc(C3CCNCC3)oc2cc1OC
