uniprot	gene	inchikey	smiles
P27487	DPP4	SOACFIGORGRGQQ-NSHDSACASA-N	N#C[C@@H]1CCCN1C(=O)CNC1(CO)CCCC1
P27487	DPP4	LTXREWYXXSTFRX-QGZVFWFLSA-N	CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C
P27487	DPP4	ZSBOMTDTBDDKMP-OAHLLOKOSA-N	Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O
P27487	DPP4	VFFZWMWTUSXDCB-ZDUSSCGKSA-N	N#Cc1ccc(NCCNCC(=O)N2CCC[C@H]2C#N)nc1
P27487	DPP4	QGJUIPDUBHWZPV-SGTAVMJGSA-N	N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2
P27487	DPP4	MFFMDFFZMYYVKS-SECBINFHSA-N	N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F
P27487	DPP4	PFYBOQNXSJHUST-CIUFUOKISA-N	N[C@H](Cc1cc(F)c(F)cc1F)C1C[C@@H]2CC[C@H](C1)N2C(=O)CS(=O)(=O)N1CCOCC1
P27487	DPP4	LUVMHHHOARZHGL-LYBMJLOOSA-N	C[C@H](NC(=O)C1CC1)C(=O)N1[C@H]2CC[C@@H]1CC([C@H](N)Cc1cc(F)c(F)cc1F)C2
P27487	DPP4	VDPYORASPBMPQL-LBPRGKRZSA-N	CC(C)OCCCNCC(=O)N1CCC[C@H]1C#N
P27487	DPP4	RPJVKSSMOOHWAB-LBPRGKRZSA-N	N#C[C@@H]1CCCN1C(=O)CNCCNc1ccc(Cl)cn1
P27487	DPP4	HKBSINOBYAPKIH-RWUOKQAASA-N	N#C[C@@H]1CCCN1C(=O)CNC1C2CC3CC(C2)CC1C3
P27487	DPP4	MWPYFGLASMUYAV-GUBZILKMSA-N	CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1C#N
P27487	DPP4	QYWNVGLKUUXOHE-UHFFFAOYSA-N	NCc1cc2ncc(C(=O)N3CCOCC3)n2cc1-c1ccc(Cl)cc1Cl
P27487	DPP4	IHBAVXVTGLANPI-QMMMGPOBSA-N	CC(C)[C@H](N)C(=O)N1CCCC1
P27487	DPP4	RQMVVBIHNXFXPW-UHFFFAOYSA-N	NCc1c(-c2ccc(Cl)cc2Cl)cn2c(N3CCSCC3)cnc2c1N
P27487	DPP4	WCRLBFHWFPELKW-SFYZADRCSA-N	CC[C@@H](C)[C@H](N)C(=O)N1CCSC1
P27487	DPP4	HNCGSIKRDJKHHN-UHFFFAOYSA-N	CC(C)CNc1c(CN)c(-c2ccc(Cl)cc2Cl)cn2c(N3CC[S+]([O-])CC3)cnc12
P27487	DPP4	NSTUQAOZZNEPQV-UHFFFAOYSA-N	NCc1c(-c2ccc(Cl)cc2Cl)cn2c(N3CCOCC3)cnc2c1NC1CCCC1
P27487	DPP4	BFTWJXMKBNDLCI-UHFFFAOYSA-N	N#Cc1c(N2CCCNCC2)n(CC=C(Cl)Cl)c2c(=O)n(Cc3nccc4ccccc34)cnc12
