uniprot	gene	inchikey	smiles
P28221	HTR1D	MYZPKVPIILDSSN-UHFFFAOYSA-N	Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCCN1
P28221	HTR1D	IPJXSSVITPAERU-RHSMWYFYSA-N	CCC(=O)c1ccc(OC)c2c1C[C@H]1OCCN(C)[C@@H]1C2
P28221	HTR1D	LBVZWEWTNUDWNS-YRNVUSSQSA-N	COc1ccc(CNC(=O)/C=C/c2ccc3[nH]cc(CCN(C)C)c3c2)cc1
P28221	HTR1D	RRLCFCXRVBZHDG-UHFFFAOYSA-N	CN(C)CCc1c[nH]c2ccc(-c3ccccc3)cc12
P28221	HTR1D	YDBCEBYHYKAFRX-UHFFFAOYSA-N	COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1
P28221	HTR1D	ULFRLSNUDGIQQP-UHFFFAOYSA-N	CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12
P28221	HTR1D	KQKPFRSPSRPDEB-UHFFFAOYSA-N	CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
P28221	HTR1D	QUSLYAPLTMMCFE-UHFFFAOYSA-N	CC(C)N1Cc2cc(S(C)(=O)=O)ccc2N(CCN2CC=C(c3c[nH]c4cc(F)ccc34)CC2)S1(=O)=O
P28221	HTR1D	QZAYGJVTTNCVMB-UHFFFAOYSA-N	NCCc1c[nH]c2ccc(O)cc12
P28221	HTR1D	DBGIVFWFUFKIQN-UHFFFAOYSA-N	CCNC(C)Cc1cccc(C(F)(F)F)c1
P28221	HTR1D	XCGSFFUVFURLIX-VFGNJEKYSA-N	CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
