uniprot	gene	inchikey	smiles
P28223	HTR2A	WPGUWABWNUSPMW-UHFFFAOYSA-N	COC(=O)c1c2n(c3ccccc13)Cc1ccccc1N1CCN(C)CC21
P28223	HTR2A	RONZAEMNMFQXRA-UHFFFAOYSA-N	CN1CCN2c3ncccc3Cc3ccccc3C2C1
P28223	HTR2A	FPCCSQOGAWCVBH-UHFFFAOYSA-N	O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1
P28223	HTR2A	BGMZUEKZENQUJY-UHFFFAOYSA-N	COc1cc(CC(C)N)c(OC)cc1I
P28223	HTR2A	QWGDMFLQWFTERH-UHFFFAOYSA-N	Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
P28223	HTR2A	NIDVDYQCGWISJZ-UHFFFAOYSA-N	Cn1c(=O)c2c(ncn2CCN2CCN(c3ccccc3Cl)CC2)n(C)c1=O
P28223	HTR2A	AFZLABYDOCWQBQ-WOJBJXKFSA-N	COc1cccc(CCc2ccccc2OCC[C@@H]2C[C@@H](O)CN2C)c1
P28223	HTR2A	UBCVYEFSXHCFPK-UHFFFAOYSA-N	CN1CCC(c2c(-c3ccccc3)[nH]c3ccccc23)CC1
P28223	HTR2A	RKEWSXXUOLRFBX-UHFFFAOYSA-N	CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1
P28223	HTR2A	BULIRMIXOHACFW-UHFFFAOYSA-N	Clc1ccc(Nc2nc(N3CCNCC3)nc3ccccc23)cc1
P28223	HTR2A	VKGVZBMIHDQODH-UHFFFAOYSA-N	O=c1[nH]c2ccccc2n1CCCCN1CCN(c2cccc(Cl)c2)CC1
P28223	HTR2A	VRBKIVRKKCLPHA-UHFFFAOYSA-N	CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1
P28223	HTR2A	OBWGMKKHCLHVIE-UHFFFAOYSA-N	CN1CCN(C2=Nc3cc(F)ccc3Cc3ccccc32)CC1
P28223	HTR2A	VGIGHGMPMUCLIQ-UHFFFAOYSA-N	O=S1(=O)c2cccc3cccc(c23)N1CCCN1CCN(c2ccc(F)cc2)CC1
P28223	HTR2A	JOAHPSVPXZTVEP-YXJHDRRASA-N	CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
P28223	HTR2A	DRTSNTOTLTVTDJ-UHFFFAOYSA-N	CN(C)C1CCc2c(cccc2-c2ccccc2)C1
P28223	HTR2A	QUSLYAPLTMMCFE-UHFFFAOYSA-N	CC(C)N1Cc2cc(S(C)(=O)=O)ccc2N(CCN2CC=C(c3c[nH]c4cc(F)ccc34)CC2)S1(=O)=O
P28223	HTR2A	PFSDKYXWJQPNMW-UHFFFAOYSA-N	Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1C2
P28223	HTR2A	BCGWQEUPMDMJNV-UHFFFAOYSA-N	CN(C)CCCN1c2ccccc2CCc2ccccc21
P28223	HTR2A	MTKHCEFATKQYMK-UHFFFAOYSA-N	CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1
P28223	HTR2A	DBGIVFWFUFKIQN-UHFFFAOYSA-N	CCNC(C)Cc1cccc(C(F)(F)F)c1
P28223	HTR2A	CEUORZQYGODEFX-UHFFFAOYSA-N	O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
P28223	HTR2A	KVWDHTXUZHCGIO-UHFFFAOYSA-N	Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
P28223	HTR2A	JNNOSTQEZICQQP-UHFFFAOYSA-N	Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2
P28223	HTR2A	JCBQCKFFSPGEDY-UHFFFAOYSA-N	c1ccc2c(c1)CCc1ccccc1N2C1CN2CCC1CC2
P28223	HTR2A	XJGVXQDUIWGIRW-UHFFFAOYSA-N	CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
P28223	HTR2A	AWHNHDGHHNGACT-UHFFFAOYSA-N	CN1CCN(C2=Nc3cc(Cl)ccc3Oc3ccccc32)CC1
P28223	HTR2A	QZAYGJVTTNCVMB-UHFFFAOYSA-N	NCCc1c[nH]c2ccc(O)cc12
P28223	HTR2A	XCGSFFUVFURLIX-VFGNJEKYSA-N	CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
