uniprot	gene	inchikey	smiles
P28335	HTR2C	OIGHTPDWPMLMGT-UHFFFAOYSA-N	c1cc2c3c(c1)c1c(n3CCNC2)CCCC1
P28335	HTR2C	ZJIUEDYXZUIMNV-UHFFFAOYSA-N	Clc1ccc2c(c1)CCNCC2
P28335	HTR2C	YJYPHIXNFHFHND-UHFFFAOYSA-N	COc1ccc2cccc(CCNC(C)=O)c2c1
P28335	HTR2C	HZZZZODVDSHQRG-UHFFFAOYSA-N	COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccc(C(F)(F)F)cc1
P28335	HTR2C	XIDPLDHLNCWZQE-UHFFFAOYSA-N	CNCCC1CCc2ccccc2C1c1ccccc1
P28335	HTR2C	RNMADLUWJVACLJ-BDAKNGLRSA-N	C=CCOc1cc(F)c(F)cc1[C@H]1C[C@@H]1CN
P28335	HTR2C	DBGIVFWFUFKIQN-UHFFFAOYSA-N	CCNC(C)Cc1cccc(C(F)(F)F)c1
P28335	HTR2C	BGMZUEKZENQUJY-UHFFFAOYSA-N	COc1cc(CC(C)N)c(OC)cc1I
P28335	HTR2C	VHFVKMTVMIZMIK-UHFFFAOYSA-N	Clc1cccc(N2CCNCC2)c1
P28335	HTR2C	YASBOGFWAMXINH-JSGCOSHPSA-N	CN1CC[C@H]2CN3CCc4cccc(c43)[C@H]2C1
P28335	HTR2C	QJQORSLQNXDVGE-UHFFFAOYSA-N	Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1
P28335	HTR2C	DRTSNTOTLTVTDJ-UHFFFAOYSA-N	CN(C)C1CCc2c(cccc2-c2ccccc2)C1
P28335	HTR2C	NIDVDYQCGWISJZ-UHFFFAOYSA-N	Cn1c(=O)c2c(ncn2CCN2CCN(c3ccccc3Cl)CC2)n(C)c1=O
P28335	HTR2C	MTKHCEFATKQYMK-UHFFFAOYSA-N	CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1
P28335	HTR2C	QZAYGJVTTNCVMB-UHFFFAOYSA-N	NCCc1c[nH]c2ccc(O)cc12
