uniprot	gene	inchikey	smiles
P28566	HTR1E	AXKPFOAXAHJUAG-UHFFFAOYSA-N	NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1
P28566	HTR1E	VNICFCQJUVFULD-UHFFFAOYSA-N	c1ccc2c(N3CCNCC3)cccc2c1
P28566	HTR1E	RLJFTICUTYVZDG-UHFFFAOYSA-N	CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2
P28566	HTR1E	ZSTKHSQDNIGFLM-UHFFFAOYSA-N	COc1ccc2[nH]cc(CCN(C)C)c2c1
P28566	HTR1E	WKNFADCGOAHBPG-UHFFFAOYSA-N	CN1CCC(c2c[nH]c3ccc(O)cc23)CC1
P28566	HTR1E	NNAIYOXJNVGUOM-UHFFFAOYSA-N	CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
P28566	HTR1E	HDOZVRUNCMBHFH-UHFFFAOYSA-N	CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21
P28566	HTR1E	GZKLJWGUPQBVJQ-UHFFFAOYSA-N	O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
P28566	HTR1E	JXZZEXZZKAWDSP-UHFFFAOYSA-N	O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1
P28566	HTR1E	VVSOHUNZJUMVHS-UHFFFAOYSA-N	O=C(CCCN1CCC(NC(=O)c2ccccc2)CC1)c1ccccc1
P28566	HTR1E	URKOMYMAXPYINW-UHFFFAOYSA-N	OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1
P28566	HTR1E	ZFZPJDFBJFHYIV-UHFFFAOYSA-N	O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1
P28566	HTR1E	VBWVJJZYUPVDPN-UHFFFAOYSA-N	O=C(CCCN1CCc2[nH]c3ccc(F)cc3c2C1)c1ccc(F)cc1
P28566	HTR1E	QOYHHIBFXOOADH-UHFFFAOYSA-N	O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2
P28566	HTR1E	LLBLNMUONVVVPG-UHFFFAOYSA-N	OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1
P28566	HTR1E	BLGXFZZNTVWLAY-SCYLSFHTSA-N	COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21
P28566	HTR1E	WYWIFABBXFUGLM-UHFFFAOYSA-N	Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1
P28566	HTR1E	QZUDBNBUXVUHMW-UHFFFAOYSA-N	CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
P28566	HTR1E	QZAYGJVTTNCVMB-UHFFFAOYSA-N	NCCc1c[nH]c2ccc(O)cc12
P28566	HTR1E	DBGIVFWFUFKIQN-UHFFFAOYSA-N	CCNC(C)Cc1cccc(C(F)(F)F)c1
