uniprot	gene	inchikey	smiles
P28845	HSD11B1	WSUXACNDZSQZBC-IERDGZPVSA-N	O=C(Nc1ccc(C(=O)N2CCC[C@H]3CCCC[C@@H]32)cc1)c1ccc(F)cc1
P28845	HSD11B1	VFTQRHWULYJKCI-UHFFFAOYSA-N	C1CCc2nnc(C34CC5CC(CC(C5)C3)C4)n2CC1
P28845	HSD11B1	AURFZBICLPNKBZ-FZCSVUEKSA-N	CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
P28845	HSD11B1	FMGSKLZLMKYGDP-USOAJAOKSA-N	C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O
P28845	HSD11B1	MPDGHEJMBKOTSU-YKLVYJNSSA-N	CC1(C)[C@@H](O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C
P28845	HSD11B1	RUDATBOHQWOJDD-BSWAIDMHSA-N	C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O
P28845	HSD11B1	IIBYAHWJQTYFKB-UHFFFAOYSA-N	CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O
P28845	HSD11B1	RSWGJHLUYNHPMX-ONCXSQPRSA-N	CC(C)C1=CC2=CC[C@H]3[C@](C)(C(=O)O)CCC[C@]3(C)[C@H]2CC1
P28845	HSD11B1	AKFNADJKXYYHSU-WHPWKXGYSA-N	C[C@@H]1CN(c2ccc(S(C)(=O)=O)cc2)CCN1c1cccc(C(=O)NC2C3CC4CC2CC(O)(C4)C3)n1
P28845	HSD11B1	JJXOUNRHCCYHOY-UHFFFAOYSA-N	CC1=CC23C(=O)OC(C)(C)C1CC2(O)CC1=C2C(=O)OC(c4ccoc4)C2(C)CCC13
P28845	HSD11B1	FJLBFSROUSIWMA-UHFFFAOYSA-N	CC(C)(C(=O)c1cccnc1)c1cccnc1
P28845	HSD11B1	QBKSWRVVCFFDOT-UHFFFAOYSA-N	Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O
