uniprot	gene	inchikey	smiles
P29274	ADORA2A	PAOANWZGLPPROA-RQXXJAGISA-N	CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)[C@H](O)[C@@H]1O
P29274	ADORA2A	ZOTHAEBAWXWVID-HXEFRTELSA-N	CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(C(=O)NCCNC(=O)NC4CCN(c5ccccn5)CC4)nc32)[C@H](O)[C@@H]1O
P29274	ADORA2A	IQVRBWUUXZMOPW-PKNBQFBNSA-N	CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O
P29274	ADORA2A	SCNILGOVBBRMBK-SDBHATRESA-N	Nc1nc(Nc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
P29274	ADORA2A	PWTBZOIUWZOPFT-UHFFFAOYSA-N	Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12
P29274	ADORA2A	AHJRSKVOELIMOX-RVXWVPLUSA-N	CCCCC#Cc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1
P29274	ADORA2A	WBWFIUAVMCNYPG-BQYQJAHWSA-N	Cn1c(=O)c2c(nc(/C=C/c3cccc(Cl)c3)n2C)n(C)c1=O
P29274	ADORA2A	RYYVLZVUVIJVGH-UHFFFAOYSA-N	Cn1c(=O)c2c(ncn2C)n(C)c1=O
P29274	ADORA2A	JADDQZYHOWSFJD-FLNNQWSLSA-N	CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
P29274	ADORA2A	SCNILGOVBBRMBK-UHFFFAOYSA-N	Nc1nc(Nc2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O
P29274	ADORA2A	SCNILGOVBBRMBK-FJFSNTMWSA-N	Nc1nc(Nc2ccccc2)nc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O
P29274	ADORA2A	NJFOJBCWSPNWOZ-OAHLLOKOSA-N	COc1cccc2c1nc(N)n1nc(CN3CCN(c4cnn(C(C)(C)C)c4)C[C@H]3C)nc21
P29274	ADORA2A	HLFRPMFYCXGADM-CQSZACIVSA-N	CO[C@@H]1CCN(c2cccc(-c3nc(-n4nc(C)cc4C)nc(N)c3C#N)n2)C1
P29274	ADORA2A	CQEIDBVNJDOWJV-UHFFFAOYSA-N	COCCOc1ccc(N2CCN(CCn3c(=O)n(C)c4c3nc(N)n3nc(-c5nccs5)nc43)CC2)cc1F
P29274	ADORA2A	OIRDTQYFTABQOQ-KQYNXXCUSA-N	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
P29274	ADORA2A	MSJODEOZODDVGW-UHFFFAOYSA-N	N=c1[nH]c2ccc(Cl)cc2c2nc(-c3ccco3)nn12
