uniprot	gene	inchikey	smiles
P30279	CCND2	QJWIKMKAGFNAJH-UHFFFAOYSA-N	CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cc3)nc2n(C2CCCC2)c1=O
P30279	CCND2	QKRVSWPBAOCWHY-UHFFFAOYSA-N	CSc1ncc(C=O)c(NC2CCCC2)n1
P30279	CCND2	GHESWKCVPRIYLS-UHFFFAOYSA-N	O=[N+]([O-])c1ccc(N2CCCC(CO)C2)cc1
P30279	CCND2	ZPGVLDQXMSGLHG-UHFFFAOYSA-N	Nc1ccc(N2CCCC(CO)C2)cc1
P30279	CCND2	VDDZMXQAZJMGPK-UHFFFAOYSA-N	CCOC(=O)c1cnc(SC)nc1NC
P30279	CCND2	RNPWPESLLCUROD-UHFFFAOYSA-N	O=[N+]([O-])c1ccc(N2CCC(O)CC2)cc1
P30279	CCND2	NXNGLEYSIAXGCL-UHFFFAOYSA-N	CNc1nc(SC)ncc1CO
P30279	CCND2	QINRQIZOBCQKAZ-UHFFFAOYSA-N	CCOC(=O)c1cnc(SC)nc1N
P30279	CCND2	FWFSAHWQTKFKBC-UHFFFAOYSA-N	CCn1c(=O)ccc2cnc([S+](C)[O-])nc21
P30279	CCND2	MYJQMHHJSZBXNK-UHFFFAOYSA-N	CCOC(=O)c1cnc(SC)nc1NC1CCCC1
P30279	CCND2	PFDUBQQHEHJNQX-UHFFFAOYSA-N	CN(C)C1CCN(c2ccc(N)cc2)CC1
P30279	CCND2	XLVOWGDFXAVSFE-UHFFFAOYSA-N	CSc1ncc(CO)c(N)n1
P30279	CCND2	WGUCZWYLSKPURM-UHFFFAOYSA-N	CNc1nc(SC)ncc1C=O
P30279	CCND2	BJXPIIDUCADEKU-UHFFFAOYSA-N	Nc1ccc(N2CCC(O)CC2)cc1
P30279	CCND2	HKGVZNNJDXEJQC-UHFFFAOYSA-N	CSc1ncc(CO)c(NC2CCCC2)n1
P30279	CCND2	RNYUFDKLBWLNCR-UHFFFAOYSA-N	CCn1c(=O)ccc2cnc(SC)nc21
