uniprot	gene	inchikey	smiles
P30939	HTR1F	WYWNEDARFVJQSG-UHFFFAOYSA-N	Cc1[nH]c2ccc(O)cc2c1CCN
P30939	HTR1F	WKZLNEWVIAGNAW-UHFFFAOYSA-N	NCCc1c[nH]c2ccc(C(N)=O)cc12
P30939	HTR1F	RPGDCRNUJYFGLT-UHFFFAOYSA-N	CC(CN)c1c[nH]c2ccc(O)cc12
P30939	HTR1F	GKWHICIUSVVNGX-MRXNPFEDSA-N	CN(C)[C@@H]1CCc2[nH]c3ccc(NC(=O)c4ccc(F)cc4)cc3c2C1
P30939	HTR1F	AXKPFOAXAHJUAG-UHFFFAOYSA-N	NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1
P30939	HTR1F	VNICFCQJUVFULD-UHFFFAOYSA-N	c1ccc2c(N3CCNCC3)cccc2c1
P30939	HTR1F	RLJFTICUTYVZDG-UHFFFAOYSA-N	CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2
P30939	HTR1F	ZSTKHSQDNIGFLM-UHFFFAOYSA-N	COc1ccc2[nH]cc(CCN(C)C)c2c1
P30939	HTR1F	WKNFADCGOAHBPG-UHFFFAOYSA-N	CN1CCC(c2c[nH]c3ccc(O)cc23)CC1
P30939	HTR1F	NNAIYOXJNVGUOM-UHFFFAOYSA-N	CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
P30939	HTR1F	HDOZVRUNCMBHFH-UHFFFAOYSA-N	CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21
P30939	HTR1F	GZKLJWGUPQBVJQ-UHFFFAOYSA-N	O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
P30939	HTR1F	JXZZEXZZKAWDSP-UHFFFAOYSA-N	O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1
P30939	HTR1F	VVSOHUNZJUMVHS-UHFFFAOYSA-N	O=C(CCCN1CCC(NC(=O)c2ccccc2)CC1)c1ccccc1
P30939	HTR1F	URKOMYMAXPYINW-UHFFFAOYSA-N	OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1
P30939	HTR1F	ZFZPJDFBJFHYIV-UHFFFAOYSA-N	O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1
P30939	HTR1F	VBWVJJZYUPVDPN-UHFFFAOYSA-N	O=C(CCCN1CCc2[nH]c3ccc(F)cc3c2C1)c1ccc(F)cc1
P30939	HTR1F	KQKPFRSPSRPDEB-UHFFFAOYSA-N	CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
P30939	HTR1F	QOYHHIBFXOOADH-UHFFFAOYSA-N	O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2
P30939	HTR1F	LLBLNMUONVVVPG-UHFFFAOYSA-N	OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1
P30939	HTR1F	QZUDBNBUXVUHMW-UHFFFAOYSA-N	CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
P30939	HTR1F	QZAYGJVTTNCVMB-UHFFFAOYSA-N	NCCc1c[nH]c2ccc(O)cc12
P30939	HTR1F	DBGIVFWFUFKIQN-UHFFFAOYSA-N	CCNC(C)Cc1cccc(C(F)(F)F)c1
