uniprot	gene	inchikey	smiles
P31749	AKT1	SBOKKVUBLNZTCT-OUKQBFOZSA-N	O=C(/C=C/c1nc2ccccc2[nH]1)c1c(O)nc2ccc(Cl)cc2c1-c1ccccc1
P31749	AKT1	STUWGJZDJHPWGZ-LBPRGKRZSA-N	Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1
P31749	AKT1	JOGKUKXHTYWRGZ-UHFFFAOYSA-N	Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
P31749	AKT1	KGPGFQWBCSZGEL-ZDUSSCGKSA-N	CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21
P31749	AKT1	GVPAGJWVBUZHNQ-UHFFFAOYSA-N	Cc1nc2cnc3ccc(C#Cc4cccnc4)cc3c2n1-c1ccc(C(C)(C)C#N)cc1
P31749	AKT1	ISHNPDWTQUXPSY-UHFFFAOYSA-N	Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(C#Cc4cccnc4)ccc3ncc21
P31749	AKT1	NYJGMJFBEVSQNN-CNRHASOASA-N	C[C@H]1O[C@@H]2CC(=O)O[C@@H]2C2=C1C(=O)c1c(ccc([C@H]3C[C@@H](N(C)C)[C@H](O)[C@@H](C)O3)c1O)C2=O
P31749	AKT1	ULDXWLCXEDXJGE-UHFFFAOYSA-N	NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1
P31749	AKT1	HHOVRZGUSBMKKU-ZDUSSCGKSA-N	CNc1nccc(-c2ccc(C(=O)N[C@H](CN)Cc3ccc(Cl)cc3Cl)s2)n1
P31749	AKT1	DXVKFBGVVRSOLI-UHFFFAOYSA-N	CCOC(=O)C1=C(N)Oc2ccc(Cl)cc2C1C(C#N)C(=O)OCC
P31749	AKT1	GRZXWCHAXNAUHY-NSISKUIASA-N	CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)cc1
P31749	AKT1	WFDHLKUQFQCHKF-UHFFFAOYSA-N	CC(=O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(CNC(=O)c5cccc(F)c5)cc4)c3n2)c1
P31749	AKT1	SZFPYBIJACMNJV-UHFFFAOYSA-O	CCCCCCCCCCCCCCCCCCOP(=O)(O)OC1CC[N+](C)(C)CC1
