uniprot	gene	inchikey	smiles
P34998	CRHR1	MQZNUFXSYVZICW-UHFFFAOYSA-N	CCCN(CC1CC1)c1nc(C)nc2c1c(C)c(C)n2-c1c(C)cc(C)c2nsnc12
P34998	CRHR1	LBWQSAZEYIZZCE-SNVBAGLBSA-N	CC[C@@H](C)Nc1nc(C)nc2c(-c3ccc(OC)nc3C)c(C)nn12
P34998	CRHR1	ANNRUWYFVIGKHA-UHFFFAOYSA-N	CCCN(CCC)c1cc(C)nc2c(-c3cnc(N(C)C)cc3C)c(C)nn12
P34998	CRHR1	MEICIUGVENCLKP-UHFFFAOYSA-N	COc1ccc(-c2c(C)oc3c(-n4nc(C)nc4C)c(C)nn23)c(C)c1
P34998	CRHR1	FZPRQRQELHONGW-JCNLHEQBSA-N	Cc1cc(C)n(C[C@H]2CC[C@H](NC(=O)c3cc(Cl)cnc3C)CC2)n1
P34998	CRHR1	LDIOUQIXNSSOGU-UHFFFAOYSA-N	CCC(CC)Nc1c2c(nc3c(-c4ccc(OC)cc4Cl)c(C)nn13)CCC2
P34998	CRHR1	IXPROWGEHNVJOY-UHFFFAOYSA-N	CCCCN(CC)c1nc(C)nc2c1c(C)c(C)n2-c1c(C)cc(C)cc1C
P34998	CRHR1	SRPNQDXRVRCTNK-UHFFFAOYSA-N	CC(C)(C)C(=O)NCCCC(=O)O
P34998	CRHR1	OOYBKKYAZSKAEJ-UHFFFAOYSA-N	Cc1c(SC#N)c(=O)n(-c2ccccc2)n1C
P34998	CRHR1	AGPKZVBTJJNPAG-WHFBIAKZSA-N	CC[C@H](C)[C@H](N)C(=O)O
