uniprot	gene	inchikey	smiles
P35372	OPRM1	TVYLLZQTGLZFBW-ZBFHGGJFSA-N	COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1
P35372	OPRM1	RDOIQAHITMMDAJ-UHFFFAOYSA-N	CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
P35372	OPRM1	ZBAFFZBKCMWUHM-UHFFFAOYSA-N	CCC(=O)N(c1ccccn1)C(C)CN1CCCCC1
P35372	OPRM1	BRUQQQPBMZOVGD-XFKAJCMBSA-N	COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314
P35372	OPRM1	YGCWTLJXPQFPEQ-UHFFFAOYSA-N	CN(C)CC1=C(c2cccnc2)c2ccccc2C1
P35372	OPRM1	PJMPHNIQZUBGLI-UHFFFAOYSA-N	CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
P35372	OPRM1	NETZHAKZCGBWSS-CEDHKZHLSA-N	Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314
P35372	OPRM1	VTGBZWHPJFMTKS-UHFFFAOYSA-N	CCc1ccc(OCc2ccccc2C(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1
P35372	OPRM1	BSQPTZYKCAULBH-UHFFFAOYSA-N	CN1CCC2(CC1)NCC(=O)N2Cc1ccccc1
P35372	OPRM1	YQYVFVRQLZMJKJ-UHFFFAOYSA-N	CC1C2Cc3ccc(O)cc3C1(C)CCN2CC1CC1
