uniprot	gene	inchikey	smiles
P35968	KDR	GXWKSXUPEFVUOO-UHFFFAOYSA-N	Cc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1Br
P35968	KDR	YHFUDIOQQYJGOQ-UHFFFAOYSA-N	O=C(Nc1cccc(C(F)(F)F)c1)c1ccccc1NCc1cc[n+]([O-])cc1
P35968	KDR	MLLQJNIKDWEEFT-UHFFFAOYSA-N	Nc1nccc(Oc2ccc3c(C(=O)Nc4cccc(C(F)(F)F)c4)cccc3c2)n1
P35968	KDR	IXMQNMIYTMPPQN-UHFFFAOYSA-N	CNC(=O)c1cc(Cc2nnc(Nc3ccc(Cl)cc3)c3ccccc23)ccn1
P35968	KDR	OODPPJDFRMJIDK-UHFFFAOYSA-N	Nc1nccc(Oc2ccc3c(C(=O)Nc4ccc(F)c(C(F)(F)F)c4)cccc3c2)n1
P35968	KDR	CXHHBESKHSJGOL-UHFFFAOYSA-N	CC1(c2cc(NC(=O)n3ccc4cc(Oc5ncnc6c5CCNC6)ccc43)[nH]n2)CC1
P35968	KDR	HJFDTNBKNJFDQP-UHFFFAOYSA-N	Nc1cc(Oc2ccc3c(C(=O)Nc4ccc(F)c(C(F)(F)F)c4)cccc3c2)ncn1
P35968	KDR	IOYGAWXBNPFOKF-UHFFFAOYSA-N	Nc1cc(Oc2ccc3c(C(=O)Nc4cccc(C(F)(F)F)c4)cccc3c2)ncn1
P35968	KDR	IFWNPAWLKUVJGK-UHFFFAOYSA-N	O=C(Nc1cc(C2CC2)on1)n1ccc2cc(Oc3ncnc4c3CNC4)ccc21
P35968	KDR	WFJQCQNBWDAYSK-AWEZNQCLSA-N	C[C@H]1Cc2c(ncnc2Oc2ccc3c(ccn3C(=O)Nc3cc(C4(C)CC4)n[nH]3)c2)CN1
P35968	KDR	NQWHKZFLRJPUMS-UHFFFAOYSA-N	COc1cccc(N2CCN(CC(O)COc3ncnc4ccccc34)CC2)c1
P35968	KDR	YCOYDOIWSSHVCK-UHFFFAOYSA-N	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1
P35968	KDR	BLAFVGLBBOPRLP-UHFFFAOYSA-N	O=C(Nc1cccc(C(F)(F)F)c1)c1ccccc1NCc1ccncc1
P35968	KDR	GGPZCOONYBPZEW-UHFFFAOYSA-N	O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1
P35968	KDR	FGTCROZDHDSNIO-UHFFFAOYSA-N	O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12
P35968	KDR	MCBPHFHTGOTFPN-UHFFFAOYSA-N	Cc1cn(-c2cc(NC(=O)c3cccc4cc(Oc5ccnc(NC(=O)C6CC6)c5)ccc34)cc(C(F)(F)F)c2)cn1
P35968	KDR	DCFKMXSEXOQIEJ-UHFFFAOYSA-N	CCc1ccc(Nc2nnc(Cc3ccc(=O)[nH]c3)c3ccccc23)cc1Br
P35968	KDR	XXJWYDDUDKYVKI-UHFFFAOYSA-N	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1
P35968	KDR	RLXDINBVLLERRM-GOSISDBHSA-N	C[C@@H](Nc1ncnc2[nH]c(-c3ccc(CN4CCOCC4)cc3)cc12)c1ccccc1
P35968	KDR	SPMVMDHWKHCIDT-UHFFFAOYSA-N	COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC
P35968	KDR	HXHAJRMTJXHJJZ-UHFFFAOYSA-N	NC(=O)c1c(OCc2c(F)cc(Br)cc2F)nsc1NC(=O)NCCCCN1CCCC1
P35968	KDR	CTUHAAWNNBQIDY-UHFFFAOYSA-N	COCCN1CCN(c2ccc(C(=O)Nc3n[nH]c4nc(-c5c(Cl)c(OC)cc(OC)c5Cl)ccc34)cc2)CC1
