uniprot	gene	inchikey	smiles
P36544	CHRNA7	LEUQBJWNAXGICB-APWZRJJASA-N	c1cc2cc(-c3cnc(O[C@H]4CCN5CCC[C@@H]4C5)nc3)ccc2[nH]1
P36544	CHRNA7	LUKNJAQKVPBDSC-SFHVURJKSA-N	c1cc2cc(-c3ccc(O[C@H]4CN5CCC4CC5)nn3)ccc2[nH]1
P36544	CHRNA7	GDJTWWGJXFJUTQ-KRWDZBQOSA-N	Cc1ccc(-c2ccc(O[C@H]3CN4CCC3CC4)nn2)c(F)c1
P36544	CHRNA7	NPDLTEZXGWRMLQ-IBGZPJMESA-N	Cc1ccc(-c2ccc(O[C@H]3CN4CCC3CC4)cn2)cc1
P36544	CHRNA7	RPYWXZCFYPVCNQ-RVDMUPIBSA-N	COc1ccc(/C=C2\CCCN=C2c2cccnc2)c(OC)c1
P36544	CHRNA7	WFMNAESJUUOVOL-RBZFPXEDSA-N	C[C@H]1[C@H](Oc2ccc(-c3ccc4[nH]ccc4c3)nn2)C2CCN1CC2
P36544	CHRNA7	KBCGDBMDBJDDGG-QFIPXVFZSA-N	Fc1ccc(COc2cccc(-c3cn([C@H]4CN5CCC4CC5)nn3)c2)cc1
P36544	CHRNA7	FGSPLFJACJLYCT-UHFFFAOYSA-N	Nc1nc(-c2ccc(C(F)(F)F)cc2)cc(N(Cc2ccccn2)Cc2ccccn2)n1
P36544	CHRNA7	RLXBHTUZCPORKT-INIZCTEOSA-N	c1cn(-c2cc(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncn2)cn1
P36544	CHRNA7	QUVNZVHUMJPPGC-KRWDZBQOSA-N	Cc1cc(F)c(-c2ccc(O[C@H]3CN4CCC3CC4)nn2)cc1F
P36544	CHRNA7	HCZHHEIFKROPDY-UHFFFAOYSA-N	O=C(O)c1cc(O)c2ccccc2n1
P36544	CHRNA7	FBOUYBDGKBSUES-VXKWHMMOSA-N	O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1
