uniprot	gene	inchikey	smiles
P36888	FLT3	VQQRBBFRJRBWPF-UHFFFAOYSA-N	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4ccnc(N)n4)cc3)cc2C(F)(F)F)CC1
P36888	FLT3	XSEPWAKOMGUUGZ-GHTZIAJQSA-N	COCCOc1ccn2c(-c3ccc4cc(F)cc(O[C@@H]5CCNC[C@@H]5F)c4n3)cnc2c1
P36888	FLT3	JOOXLOJCABQBSG-UHFFFAOYSA-N	Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1
P36888	FLT3	UXXQOJXBIDBUAC-UHFFFAOYSA-N	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1
P36888	FLT3	BMGQWWVMWDBQGC-IIFHNQTCSA-N	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
P36888	FLT3	HBMLERKBKMOWFR-UHFFFAOYSA-N	CS(=O)(=O)CCNc1ccc(-c2ccc(CC(=O)Nc3cc(C4(C(F)(F)F)CC4)on3)c(F)c2)cn1
P36888	FLT3	HYYTZUUXIPJLRY-UHFFFAOYSA-N	CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ncnc4[nH]ncc34)c(F)c2)no1
P36888	FLT3	BJZSXNALNFWZMN-UHFFFAOYSA-N	CS(=O)(=O)c1ccc(Nc2nc(NCc3ccccn3)nc3c2ncn3-c2cscn2)cc1
P36888	FLT3	ODPGGGTTYSGTGO-UHFFFAOYSA-N	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1
P36888	FLT3	GZGLPBNOIFLLRE-UHFFFAOYSA-N	COc1cccc2nc(-c3cccs3)nc(NN3C(=O)C=C(C)C3=O)c12
P36888	FLT3	ZMWQOLGHIDQXCJ-UHFFFAOYSA-N	CC(CN1CCOCC1)Nc1ccc2cc(-n3cnc4cnc5cnc(-c6ccncc6)cc5c43)ccc2n1
P36888	FLT3	GYQYAJJFPNQOOW-UHFFFAOYSA-N	CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1
P36888	FLT3	GJINDJNJRPIQNH-UHFFFAOYSA-N	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(NC(=O)N(C)c4ncnc5[nH]ccc45)c3)cc2C(F)(F)F)CC1
P36888	FLT3	ACPOUJIDANTYHO-UHFFFAOYSA-N	O=C1c2ccccc2-c2n[nH]c3cccc1c23
