uniprot	gene	inchikey	smiles
P37231	PPARG	GXPHKUHSUJUWKP-UHFFFAOYSA-N	Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
P37231	PPARG	KBOPZPXVLCULAV-UHFFFAOYSA-N	Nc1ccc(O)c(C(=O)O)c1
P37231	PPARG	HYAFETHFCAUJAY-UHFFFAOYSA-N	CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
P37231	PPARG	VQHUQHAPWMNBLP-UHFFFAOYSA-N	COP(=O)(OC)OC(c1ccc(Cl)cc1)P(=O)(OC)OC
P37231	PPARG	FRPJSHKMZHWJBE-UHFFFAOYSA-N	O=C(Nc1ccncc1)c1cc([N+](=O)[O-])ccc1Cl
P37231	PPARG	LNTHITQWFMADLM-UHFFFAOYSA-N	O=C(O)c1cc(O)c(O)c(O)c1
P37231	PPARG	ITFBYYCNYVFPKD-FMIDTUQUSA-N	CC1(C)CC[C@]2(C(=O)n3ccnc3)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]3(C)CC[C@H]3C(C)(C)C(=O)C(C#N)=C[C@]43C)[C@@H]2C1
P37231	PPARG	YASAKCUCGLMORW-UHFFFAOYSA-N	CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1
P37231	PPARG	CXGTZJYQWSUFET-IBGZPJMESA-N	CCO[C@@H](Cc1ccc(OCCc2ccc(OS(C)(=O)=O)cc2)cc1)C(=O)O
P37231	PPARG	IRLWJILLXJGJTD-UHFFFAOYSA-N	COc1ccc(OC(=O)N(CC(=O)O)Cc2ccc(OCCc3nc(-c4ccccc4)oc3C)cc2)cc1
P37231	PPARG	KVVODNUBDFULSC-XMMPIXPASA-N	Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1COc1ccc(S(=O)(=O)N2c3ccccc3C[C@@H]2C(=O)O)cc1
P37231	PPARG	SDMBRCRVFFHJKR-UHFFFAOYSA-N	CC(C)(CCCCOCCCCC(C)(C)C(=O)O)C(=O)O
P37231	PPARG	YFIZRWPXUYFCSN-UHFFFAOYSA-N	CCCc1c(OCCCOc2cc(O)c(-c3ccc(F)cc3)cc2CC)cccc1Oc1ccccc1C(=O)O
P37231	PPARG	QRYRORQUOLYVBU-VBKZILBWSA-N	CC(C)c1cc2c(c(O)c1O)[C@@]1(C(=O)O)CCCC(C)(C)[C@@H]1CC2
P37231	PPARG	RMMXLENWKUUMAY-UHFFFAOYSA-N	CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1
P37231	PPARG	WUADCCWRTIWANL-UHFFFAOYSA-N	COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1
P37231	PPARG	IIBYAHWJQTYFKB-UHFFFAOYSA-N	CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O
P37231	PPARG	KTUFNOKKBVMGRW-UHFFFAOYSA-N	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
